165, 				코로나 백신은 위험한가? 100만 건당 확률 비교			 1  
166, 				[기독여성심리학관점] 남녀차별은 없습니다.			  
167, 				대한민국 백신 접종 근황			  
168, 				여경보고 치안조무사라고 하면 간호조무사들이 화내야하는거 아님?			 1  
169, 				이준석 페북			  
170, 				런승만만 아니었어도 당 이름 자유당 한번 나올법한데			  
171, 				준실명제 욕처먹었으면 철회해야지 IP는 안할게 ID공개만 함 ㅋㅋ			 1  
172, 				미통당때 이상한애를 너무 많이 주워옴			  
173, 				항상 궁금했던게 왜 박정희가 보수우파의 상징이자 아이돌임?			 35  
174, 				좆주당 반대로만 하면 스무스하게 대선 승리 아님?			 2  
175, 				인터넷 실명제 여론조사			 10  
176, 				휴전이후로 너무 평화로웠지 ㅋㅋ 이제 한번 나라 뒤집어질때 됐다고 본다			  
177, 				여기서만 놀지말고 국힘 게시판 가라고			  
178, 				친박 노인네들은 진짜 개새끼들인 점.			  
179, 				천조국 또 1승			 1  
180, 				친박 틀딱새끼들 좆도안서니까 뇌도활동안하나ㅋㅋㅋㅋㅋ			  
181, 				돌아가는꼴 보니까 내년에 이재명될 가능성도 높음			 2  
182, 				병신 국민의짐 새끼들			  
183, 				우리나라는 민주주의라서 자유가 침해되지			  
184, 				지지자들이랑 정당이랑 지향하는 가치가 다른게 개웃김			  
185, 				보수의 존립에 도움이 안된다고해서 때려죽일 필요는 없고			  
186, 				박대출 준실명제법 혼쭐내러 다들 국힘 게시판으로 가즈아			 2  
187, 				답은 뭐다? 준!찍!자!지!			  
188, 				이스라엘이 무조건 악인건 아님			 2  
189, 				자유를 억압받기 좋아하는 국민과 그 국민들의 표빨기를 좋아하는 정치인의 콜라보가 대한민국이지 ㅋㅋㅋㅋㅋㅋ			 1  
190, 				우리나라엔 자유주의 원내정당이없음			  
191, 				국힘..자유 좋아하시는 분들이 자유를 막네?			 1  
192," 				틀딱들은 ""자유주의""보수를 지향하지 않음			 4  "
193, 				뭐 국힘이 준실명제법같은 병신짓하면서 말을 안듣다고?			  
194, 				육모단덕에 세상이 바뀔거 같음			  
195, 				국힘에서 인터넷 준실명제 이딴걸 발의하네 시발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ			 1  
196, 				김오수 검찰총장 지명자 전관예우 로펌 월 자문료 2900만원			  
197, 				지금 인터넷은 가명성임			  
198, 				또 친박이야?			  
199, 				오늘 미세먼지 일본에 간 김에 항의안되나			  
