제목 형태소,본문 형태소
"['뷔', '일상', '예능']","['짓', '움', '댕댕', '정국', '반려견', '밤', '댕댕', '댕댕', '댕댕', '김뷔']"
"['우리', '집', '댕댕']","['살', '추정', '일때', '데리', '고온', '유기견', '한지', '벌써', '년', '웃', '일이', '녀석', '때문', '모두', '화이팅']"
['댕댕'],"['영화', '움', '제목', '퍼피', '구조대', '더', '무비']"
"['추반', '집', '댕댕', '미용', '전후', '뭐']","['추후', '반']"
"['댓글', '부탁', '해', '옆', '지금', '댕댕']",['에어컨']
"['댕댕', '유산균']","['설사', '때문', '걱정', '유산균', '보라', '고해', '유산균', '펫용', '능', '저', '왜', '진작', '먹일껄', '사료', '완전', '달달', '바']"
"['댓글', '부탁', '해', '우리', '집', '댕댕']",['순둥순둥']
"['것좀', '댕댕', '자랑']",['살']
"['댓글', '부탁', '해', '우리', '집', '댕댕', '미용']","['맘', '거', '전후']"
"['드루', '이건', '무티', '장원영']","['누가', '안유진', '가운데손가락', '장원영', '위해', '빌드업', '그', '장원영', '짤', '캡쳐', '병신', '개멍', '청해', '장원영', '안달', '게다가', '댕댕', '이용', '거도', '불쾌', '열폭', '글', '말', '장원영', '언제', '여기', '유튜브', '인스타', '열폭', '잼민']"
"['댕댕', '안유진']","['진짜', '씹덕', '사']"
"['가끔', '알', '수', '댕댕', '이의', '순간']","['고장', '모습', '욥기', '출처', '사진', '검색']"
"['세상', '댕댕', '대가족']","['입틀막', '계속', '봄', '사랑둥이', '도대체', '마리', '엉엉', '출처', '사진', '검색']"
"['스타일', '변신', '댕댕']","['아늬', '가발', '초롬', '출처', '사진', '검색']"
"['우리', '집', '댕댕']","['살', '추정', '일때', '데리', '고온', '유기견', '한지', '벌써', '년', '웃', '일이', '녀석', '때문', '모두', '화이팅']"
"['이제', '오명', '댕댕']","['좀', '출처', '사진', '검색', '및', '사진', '속', '로고', '참조']"
"['댕댕', '줄', '길이', '뭐']","['중', '걸', '삼']"
"['얼굴', '사랑', '뿜뿜', '댕댕']","['어머', '귀가', '뚜', '뚜', '출처', '사진', '검색']"
"['하루', '날', '댕댕', '일상']","['출처', '사진', '검색']"
"['줄', '수', '댕댕']","['보기', '해도', '그냥', '애정', '진짜', '격하', '애', '출처', '사진', '검색']"
['댕댕'],"['지금', '홍콩', '여행', '만']"
"['주인', '경찰서', '간', '댕댕']",[]
"['난', '댕댕']","['냥', '이', '더']"
"['내', '우리', '집', '댕댕', '아무', '관심']","['개', '힝']"
"['아버지', '댕댕', '인형']","['출처', '카카오페이지', '톡', '드립', '아버님', '움']"
"['드루', '나', '울', '댕댕', '거사']",[]
"['절대', '댕댕']","['심기', '보이', '시긴', '함', '출처', '사진', '검색']"
"['가끔', '주인', '이해', '댕댕']","['뭐', '출처', '사진', '검색']"
"['방시혁', '댕댕']","['하얀색', '포메라니안', '이름']"
['댕댕'],[]
"['세븐', '틴', '민규', '에이', '티', '윤호']","['약간', '별명', '댕댕', '것']"
"['댕댕', '사진']",['자랑']
"['댕댕', '사진']",['우웅웅']
"['콜미', '았', '가수', '태군', '사람']","['체나', '년', '데뷔', '한창', '루키였다', '혐의', '데뷔', '한지', '년', '활동', '가수', '태군', '팬', '키', '춤', '실력', '노래', '댕댕', '얼굴', '모두', '완전', '내', '스타일', '때문', '혐의', '갑자기', '활동', '건', '알', '시간', '사람', '기억', '속', '듯', '어제', '문득', '때', '콜미', '콜미', '발견', '바로', '유튜브', '태군', '무대', '영상', '보고', '댓글', '임', '거기', '몇몇', '댓글', '그', '불과', '년', '전', '조현병', '글', '자기', '동네', '막', '혼잣말', '외모', '예전', '그', '미소년', '모습', '그때', '나', '쇼크', '이틀', '기분', '휴지', '금도', '혹시', '가수', '태군', '최근', '근황', '태군', '대해', '사람']"
"['레전드', '댕댕', '공개']",[]
"['명예', '택배', '기사', '살', '댕댕', '경태']","['동물', '학대', '의심', '감동', '사연', '공개', '택배', '기사', '통운', '본사', '로부터', '반려견', '경태', '선물', '공개', '일', '트판', '반려견', '택배', '기사', '또', '제목', '글', '사진', '택배', '기사', '씨', '본사', '측', '경태', '선물', '보', '혼자', '보기', '경태', '모습', '공유', '사진', '한쪽', '귀퉁이', '강아지', '용', '케이크', '통운', '로고', '택배', '근무', '복', '인형', '잡', '동사', '사이', '경태', '모습', '강아지', '용', '케이크', '명예', '택배', '기사', '경태', '문구', '경태', '부순', '것', '씨', '우리', '경태', '표정', '아부지', '왜', '듯', '간식', '경태', '웃음', '완성', '모든', '부모님', '존경', '다라', '경태', '아부지', '주접', '글', '끝', '앞서', '누리꾼', '택배', '기사', '씨', '강아지', '학대', '사진', '글', '그', '저녁', '항상', '택배', '물건', '사이', '강아지', '혼자', '보이', '누가', '해', '코지', '걱정', '누리꾼', '강아지', '진짜', '꼬질꼬질', '벌벌', '점심', '시간대', '항상', '혼자', '저녁', '퇴근길', '늘', '짐칸', '건', '이해', '택배', '물건', '수도', '강아지', '누가', '수도', '지적', '누리꾼', '차례', '동물', '학대', '저격', '글', '논란', '택배', '기사', '씨', '온라인', '커뮤니티', '서울시', '강동구', '통운', '택배', '기사', '반려견', '열', '살', '몰티즈', '경태', '소개', '해명', '글', '씨', '경태', '만남', '년', '집', '앞', '주차장', '화단', '씨', '당시', '겨우', '숨', '경태', '구조', '경태', '것', '추정', '타격', '온몸', '골절', '상태', '뼛', '조각', '때문', '수술', '몇', '차례', '심장', '사상충', '말기', '상태', '당장', '상태', '경태', '기적', '계기', '반려동물', '애정', '씨', '인생', '크게', '씨', '경태', '과거', '기억', '때문', '씨', '보이지', '시간', '시간', '것', '것', '기만', '택배', '업무', '특성', '육체', '노동', '늘', '시간', '경태', '시간', '씨', '씨', '책', '수석', '경태', '배송', '때', '짐칸', '두기', '씨', '수석', '운전', '석', '공간', '자리', '경태', '무용지물', '그냥', '저', '경태', '수', '방식', '동물', '학대', '지적', '누리꾼', '대해', '걱정', '염려', '부분', '마음', '이해', '면서', '걱정', '부분', '조금', '달라', '차후', '개선', '부분', '이후', '씨', '지난', '일', '경태', '저', '안위', '마음', '제', '경태', '짐칸', '배송', '아이', '수', '시간', '초', '분', '내외', '저희', '사연', '때문', '때', '경태', '분', '종종', '누리꾼', '택배', '기사', '씨', '경태', '근황', '응원', '누리꾼', '경태', '숨', '안', '경태', '앞', '사료', '육포', '길', '경태', '아버님', '돈길', '등', '반응']"
"['강아지', '잠꼬대', '댕댕']","['우리', '거', '굳이', '자세', '왜', '때', '잠꼬대', '하니', '댕댕', '우리', '설기', '뽀뽀', '일상']"
"['패션', '모델', '댕댕']","['얘', '나', '옷', '출처', '사진', '검색', '및', '사진', '속', '참조']"
"['자기', '집', '댕댕', '여행']","['댕댕', '야옹이', '자기', '친구', '박일', '여행', '플랜', '제발', '허락', '허락', '나', '결사', '반대', '언니', '우리', '엄마', '나', '외박', '허락', '마음']"
"['표범', '댕댕', '위', '아프리카', '부족', '묘책']",[]
"['명예', '택배', '기사', '살', '댕댕', '경태']","['동물', '학대', '의심', '감동', '사연', '공개', '택배', '기사', '통운', '본사', '로부터', '반려견', '경태', '선물', '공개', '일', '트판', '반려견', '택배', '기사', '또', '제목', '글', '사진', '택배', '기사', '씨', '본사', '측', '경태', '선물', '보', '혼자', '보기', '경태', '모습', '공유', '사진', '한쪽', '귀퉁이', '강아지', '용', '케이크', '통운', '로고', '택배', '근무', '복', '인형', '잡', '동사', '사이', '경태', '모습', '강아지', '용', '케이크', '명예', '택배', '기사', '경태', '문구', '경태', '부순', '것', '씨', '우리', '경태', '표정', '아부지', '왜', '듯', '간식', '경태', '웃음', '완성', '모든', '부모님', '존경', '다라', '경태', '아부지', '주접', '글', '끝', '앞서', '누리꾼', '택배', '기사', '씨', '강아지', '학대', '사진', '글', '그', '저녁', '항상', '택배', '물건', '사이', '강아지', '혼자', '보이', '누가', '해', '코지', '걱정', '누리꾼', '강아지', '진짜', '꼬질꼬질', '벌벌', '점심', '시간대', '항상', '혼자', '저녁', '퇴근길', '늘', '짐칸', '건', '이해', '택배', '물건', '수도', '강아지', '누가', '수도', '지적', '누리꾼', '차례', '동물', '학대', '저격', '글', '논란', '택배', '기사', '씨', '온라인', '커뮤니티', '서울시', '강동구', '통운', '택배', '기사', '반려견', '열', '살', '몰티즈', '경태', '소개', '해명', '글', '씨', '경태', '만남', '년', '집', '앞', '주차장', '화단', '씨', '당시', '겨우', '숨', '경태', '구조', '경태', '것', '추정', '타격', '온몸', '골절', '상태', '뼛', '조각', '때문', '수술', '몇', '차례', '심장', '사상충', '말기', '상태', '당장', '상태', '경태', '기적', '계기', '반려동물', '애정', '씨', '인생', '크게', '씨', '경태', '과거', '기억', '때문', '씨', '보이지', '시간', '시간', '것', '것', '기만', '택배', '업무', '특성', '육체', '노동', '늘', '시간', '경태', '시간', '씨', '씨', '책', '수석', '경태', '배송', '때', '짐칸', '두기', '씨', '수석', '운전', '석', '공간', '자리', '경태', '무용지물', '그냥', '저', '경태', '수', '방식', '동물', '학대', '지적', '누리꾼', '대해', '걱정', '염려', '부분', '마음', '이해', '면서', '걱정', '부분', '조금', '달라', '차후', '개선', '부분', '이후', '씨', '지난', '일', '경태', '저', '안위', '마음', '제', '경태', '짐칸', '배송', '아이', '수', '시간', '초', '분', '내외', '저희', '사연', '때문', '때', '경태', '분', '종종', '누리꾼', '택배', '기사', '씨', '경태', '근황', '응원', '누리꾼', '경태', '숨', '안', '경태', '앞', '사료', '육포', '길', '경태', '아버님', '돈길', '등', '반응']"
"['댓글', '부탁', '해', '집', '댕댕', '실시간', '중', '포착']","['얘', '지금']"
"['댕댕', '펫', '호텔', '소개']","['댕댕', '냥', '투숙', '수', '반려동물', '전용', '펫', '호텔', '소개', '출처']"
"['국방부', '저번', '고먐미', '이제', '댕댕']","['선', '동물학대']"
"['강아지', '스티커', '댕댕', '장난', '중']","['겸댕', '포메', '스티커', '장난', '반응', '깨', '발랄', '뽀뽀', '소심', '포메', '설기', '일상']"
"['드루', '난', '회피', '반대', '조카', '직진', '걸이', '문제', '임']","['사람', '려', '애정', '표현', '상대방', '좀', '함', '남친', '처음', '인간', '댕댕', '나중', '자기', '의존', '지금', '남친', '슬슬', '말', '나', '집착', '해결', '방법', '안', '줌', '난']"
"['난', '집', '댕댕', '이름', '글']","['백현', '좀', '얘', '똥', '내', '양심']"
"['댓글', '부탁', '해', '과', '몰입', '대장', '과', '한과', '몰입', '특징']","['인프피', '세상', '고통', '혼자', '짊', '어진', '평생', '피해자', '이자', '우울증', '환자', '매우', '위태', '로우', '도움', '필요', '혼자', '저', '세상', '편의', '내', '불행', '우울', '그', '누구', '수', '나', '수', '특권', '나', '사람', '프피', '세상', '만사', '뒤', '머', '꽃밭', '굴지', '사실', '속', '여리고', '눈치', '바보', '자처', '척', '함', '앞', '실실', '지리', '사실', '속', '누구', '감성', '이', '사실', '나', '굳이', '남', '필요', '너넨', '내', '댕댕', '모습', '팁', '공감', '능력', '아예', '논리', '이성', '집착', '시오', '사이코패스', '형', '로봇', '인간', '걸', '왜', '함', '게', '대체', '뭐', '진짜', '해안', '별', '걸', '뭐뭐', '얘', '왜', '얘', '이입', '움', '수준', '팁', '구역', '년', '나야', '나', '눈', '너', '뇬앙눈', '눈', '사람', '내', '나', '뇬', '처음', '어디', '나', '난', '년', '내', '난', '정말', '노잼', '인간', '다른', '듯얘', '단', '얘', '중', '과', '몰입', '수준', '애', '특징', '봄']"
"['댕댕', '수료증']",[]
"['댕댕', '아부지']","['출처', '잇코', '리아']"
"['로제', '댕댕', '입양']","['로제', '인스타', '스토리', '댕댕', '멍', '스타', '그램', '댕댕', '임보', '분', '계정', '게시', '물', '입양', '전', '이름', '미르', '믹스', '남자', '애기', '임', '이제', '개월', '정도', '벌써', '폭풍', '업뎃', '행크', '사진', '제', '행크', '지은', '건가', '이름', '로제', '행']"
"['사촌언니', '강아지', '달', '동안']","['사촌언니', '강아지', '달', '동안', '잠깐', '그때', '영상', '혼자', '다시', '힐링', '바람', '강아지', '채널', '하나', '일상', '또', '때', '번', '말투', '할미', '것', '중반', '인생', '타도', '코로나', '땜', '집', '기도', '인스타', '남', '댕댕', '고양이', '낙인', '지라', '최고다', '강아지', '최고다', '번', '미소', '짓', '구가', '할미', '말', '강', '최고다', '강', '쩡', '강']"
"['댕댕', '굳이', '내', '뒤', '뒤', '잠']",[]
"['골차', '재현', '웹드', '댕댕']","['골든', '차', '일드', '재현', '딩고', '웹', '드라마', '썸', '편의점', '주연', '출연', '여기', '완전', '멍뭉이', '연하남', '재현', '캐릭터', '완전', '찰떡', '임', '누나', '재현', '장면', '강아지', '귀', '꼬리', '그게', '것', '웹', '드라마', '속', '재현', '연하남', '역', '애교', '생활', '임', '애교', '볼', '수', '좀', '돌직구', '직진', '연하남', '면모', '볼', '수', '연하남', '친구', '재현', '웹드', '보쉐', '역할', '찰떡', '비주', '생각', '연기', '볼', '함', '무엇', '연하남', '역', '관심', '사람', '한번', '바', '나름']"
"['간식', '독', '알', '댕댕', '반응']","['출처', '잇코', '리아']"
"['럽리', '지애', '협찬', '댕댕', '사진']","['협찬', '때문', '지애', '집', '반려견', '사진', '지애', '서로', '한번', '안', '중', '댕댕', '사진', '찍기', '지애', '뭔', '둘', '사이', '알', '집안', '댕댕', '무시', '지애', '일편단심', '동생', '반려견', '분노', '장난', '임', '참고', '사진', '속', '댕댕', '이인', '콩', '애완', '상품', '관련', '광고', '나름', '유', '명견', '지애', '자기', '미용', '돈', '더', '정도']"
"['토리', '댕댕', '거울셀카']","['앞', '사진', '뿌잉', '토리', '우리', '집', '막내', '토리', '불출']"
"['구멍', '댕댕', '자식', '구', '보배']",[]
"['강아지', '겁', '댕댕', '이의', '노', '워', '크시']","['겁', '포메', '워', '장난감', '댕댕', '설기', '노', '워', '시간']"
"['집', '가기', '댕댕', '이의', '국룰']","['안', '못', '걷기', '끌', '고가', '댕', '정말', '집', '때', '출처', '사진', '검색']"
"['웹드', '댕댕', '그', '자체', '골든', '차', '일드', '재현']","['딩고', '뮤직', '웹', '드라마', '썸', '편의점', '출연', '골든', '차', '일드', '재현', '여기', '진짜', '그냥', '댕댕', '그', '자체', '임', '저', '귀', '꼬리', '팬', '웹드', '재현', '등장', '때', '마다', '거의', '그니', '술', '취한', '연기', '구', '움']"
"['나무', '속', '댕댕']","['얼마', '전', '산', '오르다', '포착', '나무', '구멍', '속', '갈색', '댕댕', '그', '조합']"
"['본진', '댕댕', '입양']","['분양', '조카', '입', '별로']"
"['깽', '보모', '댕댕']","['오웅', '살갑', '서로', '정말', '댕댕', '출처', '사진', '검색']"
"['치명', '볼살', '때문', '댕댕']","['아악', '정말', '강아지', '볼쌀', '저리', '임', '출처', '사진', '검색']"
"['정말', '우리', '집', '댕댕']","['고깔', '꼼', '진짜', '역시', '사람', '댕댕', '미용실', '가야', '함', '출처', '사진', '검색']"
"['애인', '강아지', '것']","['댕댕', '뿐', '동물', '사랑', '사람', '제목', '질문', '저', '제', '아이', '결혼', '것', '연인', '관계', '이기', '때문', '또', '이', '대해', '다른', '사람', '생각', '남자친구', '리트리버', '마리', '강아지', '년', '성인', '가슴', '높이', '정도', '몸집', '꽤', '강아지', '이름', '망고', '현재', '남친', '친구', '둘이서', '연식', '약', '년', '주택', '살', '방', '거실', '겸', '복도', '화장실', '현관', '문', '대략', '의', '거실', '사실', '나머지', '방', '문', '이동', '위해', '최소한', '복도', '개념', '망고', '거실', '및', '복도', '바닥', '장판', '망고', '곰팡이', '핀', '시멘트', '바닥', '벽지', '군데군데', '곰팡이', '수', '것', '엉망', '징창', '성견', '과정', '이갈이', '수', '생각', '남친', '집', '화장실', '방문', '망고', '계속', '방문', '진짜', '신경', '기분', '정말', '말', '공간', '대형견', '것', '충격', '더', '것', '현실', '집', '크기', '수', '산책', '산책', '거의', '남친', '달', '정도', '산책', '날', '손', '꼽아', '번', '저', '말', '날', '바라지', '항상', '간다', '누구', '등', '보고', '매일', '남친', '생활', '패턴', '다음', '일주일', '일', '아침', '저녁', '시간대', '퇴근', '퇴근', '저', '친구', '저녁', '술', '노래방', '게임', '휴대폰', '거나', '통화', '잠듭', '외박', '종종', '뿐', '친구', '집', '다', '술', '자고', '아침', '거의', '룸메', '친구', '집', '거의', '집', '망고', '밥', '밥', '배변', '패드', '문제', '정말', '거실', '창문', '악취', '대형견', '소변', '방치', '망고', '남친', '집', '하루', '처음', '간', '제', '배변', '패드', '똥', '직접', '남친', '늦잠', '그냥', '기본', '저', '하루', '종일', '환기', '공간', '밥그릇', '화장실', '바로', '옆', '먹기', '거', '남친', '망고', '자율', '급식', '크게', '신경', '망고', '날', '기회', '얘기', '적', '남친', '친구', '남친', '집', '논', '적', '다른', '분', '강아지', '저기', '장난', '저', '그때', '말', '적', '산책', '안시', '내', '자식', '누구', '내', '더', '망고', '생각', '기분', '그', '뒤', '언급', '좀', '마무리', '사실', '생명', '그', '마음가짐', '사랑', '경제', '능력', '수', '환경', '이', '외', '더', '책임감', '생각', '저', '강아지', '고양이', '사랑', '엄두', '못내', '남친', '행동', '화가', '치', '둘', '관계', '문제점', '걸', '지도', '판단', '여러분', '것', '애인', '반려동물', '못', '때', '두서', '글']"
"['침대', '못', '주인', '댕댕']","['출처', '잇코', '리아']"
"['우리', '집', '댕댕', '왜', '요']","['출처', '사진', '검색']"
"['것좀', '힐링', '카톡', '프사', '친구', '댕댕']","['귀', '다이소', '양말', '무니', '술', '애기']"
