제목,본문
[댓글부탁해] 우리집 댕댕이 아직 애기 티 나??,제곧내애기애기해 
부끄러우면 녹아내리는 댕댕이?!,학 부끄러우면 녹네 진짜 ㅋㅋㅋㅋ뭐야 귀여워 ㅠㅠ근데 저런 아픔도 있었다니 ㅠㅠ 그래도 좋은 집사분 만나서 행복한거 보니 다행근데 녹는거 너무 귀엽다 증말 ㅋㅋㅋ출처 사진검색   
병지컷 하더니 더 귀여워진 댕댕이 창섭이 ㅋㅋㅋㅋㅋ,병지컷 진짜 너무 찰떡인거 아니냐궄ㅋㅋ겁나 쓰담쓰담 하고싶다구요즘 또 창며드는 나 ㅠㅠㅠ 
자꾸 자기가 냥이인 줄 아는 댕댕이들,아니 ㅋㅋㅋㅋ같이 살면 저렇게 변하는거임 ㅋㅋ캣타워에 박스사랑은 물론이거니와 창가에 고고하게 서있는건 기겁ㅎㄷㄷ마지막 사진은 반전인가ㅋㅋ출처 사진검색 
댕댕이 초인종 소리 문구 스티커 신청만 하면 준대요!(광고 아님),친구가 요즘 인스타에서 이게 핫하다고 알려줘서 신청했어요 인스타에 꼬잇도어사인 검색하면 짱 많이 나옴무료고 신청만 하면 다 준다길래 신청하고 잊고 살았다가 며칠 전에 진짜 왔길래 초인종 바로 옆에 딱 붙임신청할 때 보면 디자인이랑 문구 개 있는데 그 중에 고르면 되는데 그림이랑 문구랑 다 귀여워서 다 갖고 싶었는데 ㅠㅠ우리 강아지는 강아지 주제에 밖에 나가면 쫄보 되는 집돌이라 요고 신청요즘 택배랑 배달 엄청 많은데 기분탓인지 이거 붙이고 나서 진짜 벨 누르는 기사님 한 분도 안 계심필요하시면 신청해 보세요 잊을만 할 때 도착합니다 ㅋㅋㅋ 
로드뷰 댕댕이, 
아프리카 부족들의 댕댕이 지키기, 
냥아치를 상대하던 댕댕이는..,결국 자신의 침대를 내어주고말았답니다댕이는 냥아치를 이기지못했어요출처  사진 검색 및 사진 속 참조 
[댓글부탁해] 어제 레전드로 귀여운 댕댕이 봤음..,길가다 본건데 강아지는 땅에 있고 주인분 그 쭈구리게 앉은 자세로 계시는데 강아지가 안아달라고 무릎 위에 발 올리면서 꼬리 딸랑딸랑 흔드는데 눈망울도 완전 똘망초롱 귀엽고 진짜 올해 들어서 제일 심쿵했음 헉 했음 이 맛에 강아지 애교 보는거냐 진짜 댕댕미 매력 ㅈㄴ대박임 아ㅜㅜㅜㅜ기여워
[댓글부탁해] 아너무귀여워 우리집댕댕이 잔다.,코 잔다 ㅠㅠㅠㅠ 
댕댕이가 마냥 사랑받는 이유?!,광대 미소가 떠나질 못함 어흑ㅠㅠ출처 사진검색 
단체 사진에 진심인 댕댕이 모임,어머나지금 이 떼샷이 가능한거임너무 신기하다 한두번 찍어본 솜씨들이 아닌데세상에 귀엽고 넘나 대견함아마 댕댕이들 맡기면 케어해주고 트레이닝도 시켜주는 곳에 함께 다니는 댕댕이들인거 같은데 ㅋ산책이나 소풍 나와서 단체사진 찍는 개념인가봄 ㅋㅋㅋ 증말 신기출처 사진검색 
[댓글부탁해] 귀여운 댕댕이 유튜브 추천해종!!!!ㅠㅠㅠㅠ,재롱이 영상 다 봐서 귀여운 댕댕이들 또 알고 싶음 ㅠㅠ 
[댓글부탁해] 우리집 댕댕이 왤케 꼬질해졌냐…,진짜 꼬순꼬순하다 
[강아지] 육아에 지친 댕댕이,자체 모자이크 ㅋㅋㅋㅋ
[모두드루와] 문빈 인별 땀 식히는 사진 너무 귀여운 댕댕이 같아,귀여운 얼굴에 그렇지 못한 큰 몸 이번 활동에서 문빈 너무 예뻐 행복해
울 댕댕이 무슨 종이게?,뒷모습 보고 맞춰봥 
천장으로 날아다니는 댕댕이들,ㅋㅋㅋㅋ 귀여워요출처  사진 검색 및 사진 속 참조 
너희들은 너네집 댕댕이랑 뽀뽀할 때 어떤 식으로 해?,나는 누워있으면 얘가 배 밟고 올라와서 자기 앞발로 내 볼 잡고 뽀뽀해주거든ㅋㅋㅋㅋㅋㅋㅋ
[댓글부탁해] 저녁에 댕댕이랑 산책나가는 거,인생에서 가장 큰 행복 아님
능글맞고 댕댕이같은,사람 만나고 싶다 신발 
[드루와] 울 댕댕이 사주고 싶은게 있는데,월이 우리 댕댕이 우리 집에 온지주년이라서사주고 싶은게 있는데혹시 카카오톡 쇼핑하기 톡딜하는 견주 있음장모견이라 봄마다 털뿜고 난리라서 바리깡이랑 빗 살까 하는데그냥사자니 가격차이가 너무 나서 못사고 있어참고로 울 댕댕이 귀엽지 원래 시골강쥐인데 로드킬 당할뻔한거데려다가 치료하고 키우고 있어지금은 애교가 산만함 ㅎㅎㅎㅎ 추가울 댕댕이 어릴적 사진그로부터 약 년뒤 ㅋㅋㅋㅋㅋ날씬이 버젼 위에는 살이 좀 찜 ㅋㅋㅋ울 댕댕이를 보더라도 살이야기는 하지 마세욥상처 받아용 
감자뼈를 하수구에 빠뜨린 댕댕이, 
댕댕이 머머리 쓰는 애들한텐 뭐라 안 하고 웅앵웅 오조오억한테 뭐라...,개웃
댕댕이 같은 진우,찐건나블리 진우를 보면 댕댕이가 생각남ㅋㅋㅋㅋㅋㅋ 호기심 대왕나은이랑 건후가 마이크로 놀고 있으니까슬쩍 다가가기도 하구스프레이 발견하고 이리저리 만져보더니그걸로 아빠가 물 쏴주니까 저렇게 행복하게 웃음ㅋㅋㅋㅋㅋㅋ최대한 안 밟으려는 건후와최대한 많이 밟으려는 진우형제가 성향이 넘나 다르구요 ㅋㅋㅋㅋㅋㅋㅋ 혀 낼름거리기파추호가 뭘 가져오라고 시켜서 이렇게 달리는데메롱하면서 뛰어감ㅋㅋㅋㅋㅋ존귀글고 뛰는 폼이 형 건후랑 존똑ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ울다가 형이 웃겨주니까 조그만 혀 내밀면서 웃고ㅋㅋㅋ마스크 벗다가도 낼름ㅋㅋㅋㅋㅋㅋ 드러눕기안나 유튜브에 올라온 진우산책하다가 걍 누워버림ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그냥 갑자기 이렇게 누워버림ㅋㅋㅋ눕는 게 넘나 좋은가봐 ㅋㅋ표정은 찐행복ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ넘나 행복해 보여서 보는 나까지 기분 좋아져 ㅋㅋㅋㅋ걷다가 힘들면 이렇게 쉬어가기도 함ㅋㅋㅋㅋㅋㅋ형 건후랑 같이 누나 나은이 댄스 학원에 가서도 저렇게 누워버림ㅋㅋㅋㅋㅋㅋ넘나 댕댕이 재질ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 귀여웤ㅋㅋㅋㅋㅋ 
뷔 일상예능 보고싶다,하는짓 ㅈㄴ너무 귀여움 ㅠ댕댕 정국이 반려견 밤이랑 노는건데ㅠ 댕댕이같음 ㅠ댕댕댕댕그리고 김뷔 너무 잘생겼어 마니보고싶다 
우리집댕댕이 ~~~입니다~~~~,살추정일때 데리고온 유기견인데함께한지 벌써 년이지났네요웃을일이없는데 너무귀여운 이녀석때문에라도 웃게되네요모두힘내시구 화이팅하세용 
넘귀여운 댕댕이들,영화 보구싶다 넘귀여움제목 퍼피 구조대 더 무비 
[추반] 울집 댕댕이 미용 전후 뭐가더 나음??,전추후반 
[댓글부탁해] 내옆에 지금 댕댕이 있당ㅋ,에어컨틀어줬더니 시원하게 잘 드러눕네 
댕댕이 유산균도 나왔네요,설사때문에 걱정이 많았는데 유산균 먹어보라고해서유산균있나고물어봤더니 있다네요 펫용 있는지몰랐다능 저는 왜몰랐죠 진작 먹일껄 사료에부어주니 완전 너무 좋아하는데요달달하니 맛있나바요 ㅋㅋㅋ 
[댓글부탁해] 우리집 댕댕이 ㅈㄴ귀엽지않냐ㅠㅠㅠ,순둥순둥 
[이것좀봐줘] 댕댕이 자랑,열두살인데 겁나 귀엽지
[댓글부탁해] 우리집 댕댕이 미용했는데 하..,너무 맘에 안들어ㅠㅠㅠㅠㅠ이거 맞냐전후 
[모두드루와] 와 이건 너무티나는거 아니냐 장원영,누가봐도 안유진 가운데손가락 아닌데ㅋㅋ장원영 까기위해 빌드업ㅋㅋㅋ그에비해 장원영은 ㅈㄴ욕먹은짤 캡쳐도 ㅈ병신같이 해서 가져옴ㄷㄷ 개멍청해 장원영 까고싶어 안달났노 게다가 댕댕이 이용한거도 불쾌이런열폭글이  말에도 있다는게ㅅㅂ이다 장원영 언제놔줄래 여기뿐만ㅇㅏ니라 유튜브인스타 열폭여잼민이들도 걍 뒤졌으면ㅜㅠ 
댕댕이 안유진,진짜 너무 귀엽다씹덕사
가끔은 알 수 없는 댕댕이의 순간,고장난 모습도 귀욥기만 허다ㅠㅠ출처 사진검색 
세상 다복한 댕댕이네 대가족,그저 입틀막하고 계속 봄사랑둥이가 도대체 몇마리야 ㅠㅠ 엉엉출처 사진검색 
스타일 변신에 난감한 댕댕이들,아늬 ㅋㅋㅋㅋ치렁치렁 가발을 저렇게 새초롬하게 쓰고 있다니 ㅎㄷㄷㅠㅠ출처 사진검색 
우리집댕댕이 ~~~입니다~~~~,살추정일때 데리고온 유기견인데함께한지 벌써 년이지났네요웃을일이없는데 너무귀여운 이녀석때문에라도 웃게되네요모두힘내시구 화이팅하세용 
이제는 오명 벗고 싶은 댕댕이,ㅎㅎㅎㅎ좀 그렇긴 하다 ㅎㅎㅎㅎㅋㅋ그래도 귀여워요출처  사진검색 및 사진 속 로고 참조 
댕댕이 줄 길이 뭐가 적당할가,중에 걸라주삼 
얼굴부터 사랑 뿜뿜인 댕댕이,어머 귀가 하뚜네 하뚜ㅠㅠ꺅출처 사진검색 
하루도 조용할 날 없는 댕댕이 일상,출처 사진검색 
아껴 줄 수 밖에 없는 댕댕이들,보기만 해도 그냥 애틋하고 사랑스럽고 애정하고 진짜ㅠㅠ격하게 애껴주고 싶다 ㅠㅠ출처 사진검색 
댕댕이...,지금 홍콩여행중오랜만에
주인 잃어버리고 경찰서 간 댕댕이, 
난 댕댕이보다,냥냥이가 더 좋은데 
내가 우리집 댕댕이 올리면 아무도 관심안주겠지,개귀여운사진있는데 힝
아버지가 사오신 댕댕이 인형 jpg,출처  카카오페이지 톡드립아버님 너무 귀여움ㅋㅋㅋㅋㅋㅋㅋㅋ 
[드루와] 나 울 댕댕이 이거사주고 싶음,
절대 호락호락하지 않은 댕댕이들,심기가 불편해 보이시긴 함ㅋㅋㅋㅋㅋ출처 사진검색 
가끔은 주인도 이해하기 힘든 댕댕이들,뭐야 ㅋㅋㅋㅋㅋ출처 사진검색 
방시혁 댕댕이 키우면좋겠다,하얀색 포메라니안으로이름은 탄이
댕댕이,귀여워
세븐틴 민규랑 에이티즈 윤호,약간 닮지 않았음 둘다 별명 댕댕이인것도 그렇고 ㅋㅋㅋ 
댕댕이 사진 보여줘,자랑해
귀여운 댕댕이 사진 뿌려주라,우웅웅
"09년에 콜미, 속았다 불렀던 가수 태군 기억나는 사람 있음??",간단히 음슴체나는 년에 데뷔해서 한창 떠오르는 루키였다가 ㅁㅇ혐의로 데뷔한지 년만에 활동을 접은 가수 태군의 엄청난 팬이었음큰 키 춤실력 노래 댕댕이스러운 얼굴 모두 완전 내 스타일이었기 때문에ㅜㅜㅁㅇ혐의로 갑자기 활동을 접었던 건 알고 있었고오랜 시간이 지나면서 그렇게 나와 사람들 기억 속에서 잊혀지는 듯 했는데 어제 문득 아무때나 콜미 콜미 하면서 흥얼거리고 있는 나를 발견했음그래서 바로 유튜브에 들어가서 태군 무대영상을 보고 있는데 댓글이 궁금해진거임근데 거기서 몇몇 댓글에 그가 불과 몇년 전까지 조현병으로 힘들어했다는 글을 봤음 자기 동네에서 막 혼잣말하고 다니고 외모도 예전의 그 미소년같던 모습이 아니라고그때부터 나 너무 쇼크먹어 이틀째 기분이 많이 복잡함휴지금도 그런지 모르겠는데혹시 가수 태군의 최근 근황이나 태군에 대해서 잘 아는 사람 있을까
레전드 댕댕이 공개들, 
명예 택배기사된 10살 댕댕이 경태,동물 학대를 의심받다 뒤늦게 감동적인 사연이 공개된 택배기사가 대한통운 본사로부터 받은 반려견 경태의 선물을 공개했다일 네이트판에 반려견과 함께 하는 택배기사 또 들렀습니다라는 제목의 글이 사진과 함께 올라왔다 택배기사 씨는 본사 측에서 경태에게 선물을 보내줬다며 혼자 보기에는 너무 귀엽고 재미있어서 경태 모습을 공유해 드리고자 이렇게 들렀다고 했다사진에는 한쪽 귀퉁이가 부서진 강아지용 케이크와 대한통운 로고가 박힌 택배 근무복을 입고 인형과 잡동사니 사이에 둘러싸여 있는 경태의 모습이 담겼다 강아지용 케이크에는 명예 택배기사 경태라는 문구가 적혀 있었지만 이는 경태가 부순 것으로 전해졌다씨는 우리 경태 표정에서 아부지가 왜저럴까 하는 듯 하였으나 간식 열심히 흔들어 경태의 억지웃음이 완성됐다 모든 부모님들 존경한다라며 흔한 경태 아부지의 완벽한 주접이었다라고 글을 끝맺었다앞서 한 누리꾼은 택배기사 씨가 강아지를 학대하고 있다며 사진과 함께 글을 올렸다 그는 저녁에 항상 택배 물건들 사이에 강아지 혼자 있는데 너무 위험해 보이고 춥고 누가 해코지할까 봐 걱정된다고 했다이 누리꾼은 강아지 진짜 꼬질꼬질하게 벌벌 떨면서 있다 점심 시간대에 항상 혼자 있고 저녁에 퇴근길에도 보는데 늘 짐칸에 있다라며 바쁜 건 이해하지만 택배 물건들이 넘어질 수도 강아지를 누가 데려갈 수도 있고 그렇지 않느냐고 지적했다누리꾼이 수차례 올린 동물 학대 저격 글에 논란이 커지자 택배기사 씨는 한 온라인 커뮤니티에 서울시 강동구에서 대한통운 택배기사라고 밝히고 반려견 열 살 몰티즈 경태를 소개하며 해명 글을 올렸다씨와 경태의 첫만남은 년 집 앞 주차장 화단에서다 씨는 당시 겨우 숨만 붙어있던 경태를 구조했다 경태는 맞은 것으로 추정되는 타격으로 온몸이 골절되고 털도 빠진 상태였고 돌아다니는 뼛조각 때문에 수술도 몇 차례 했다심장사상충 말기 상태로 당장 죽어도 이상하지 않은 상태였던 경태는 기적적으로 살아났다 이를 계기로 반려동물에 큰 애정이 없었던 씨의 인생도 크게 바뀌었다고 씨는 밝혔다경태는 과거의 기억 때문인지 씨가 보이지 않으면 시간이든 시간이든 아무것도 먹지도 바라는 것 없이 짖고 울기만 한다고 했다 택배 업무 특성상 육체적 노동과 함께 늘 시간에 쫓기다 보니 경태를 돌볼 시간이 씨에게는 없었다씨는 고육지책으로 조수석에 둬도 불안해하는 경태를 배송할 때만 짐칸에 두기로 했다 씨는 조수석이나 운전석 뒷공간에 편안한 자리를 만들어 줘도 경태에게는 무용지물이라 그냥 저와 경태가 만족할 수 있는 방식으로 지내고 있었다고 했다그러면서 동물 학대라고 지적한 누리꾼에 대해 걱정하고 염려하는 부분 어떤 마음인지 충분히 이해한다면서 걱정하는 부분을 조금만 지켜봐 달라 차후에 개선해야 할 부분이 있다면 고치겠다고 했다이후 씨는 지난 일 경태와 저의 안위는 마음 놓으셔도 된다며 제가 경태를 짐칸에 두고 배송을 하면서 아이를 살펴볼 수 있는 시간이 초에서 분 내외였는데 저희 사연 때문인지 왔다 갔다 할 때 경태를 지켜주시는 분들이 종종 계셔서 참 감사하면서도 죄송하다고 했다누리꾼들은 택배기사 씨와 경태의 근황에 응원을 보내고 있다 누리꾼들은 경태 너무 귀여워 숨이 안 쉬어진다 경태야 앞으로 사료육포 길만 걷자 경태 아버님도 돈길만 걸으세요 등의 반응을 보였다 
[강아지] 잠꼬대하는 댕댕이,열심히 자는 우리 설기잘거면 편하게 자면 되는데 굳이 저렇게 힘든자세로 왜자는건지잘때 열심히 잠꼬대까지 하니 넘나 사랑스러운 댕댕이우리 설기와 뽀뽀의 일상 많이 보러 와주세요 
패션 모델을 꿈꾸는 댕댕이,와얘가 나보다 옷 많은듯출처 사진검색 및 사진 속 참조 
자기 집 댕댕이 여행 보내줄수있음?,댕댕이나 야옹이가 자기 친구들이랑 박일로 여행 가고싶다고 플랜도 다 짰고 제발 허락해달라하면 허락해줄래 나는 결사반대 갈거면 언니도 데려가 우리 엄마가 나 외박 허락 안해주는 마음을 알거같음ㅋㅋㅋㄱㅋㅋㅋㄱ 
표범에게서 댕댕이를 지키기위한 아프리카 부족의 묘책, 
