제목,본문
근데 솔직히 트와이스가 대단하긴함,살남자고제대한지년됬는데아직도트와이스전원이름다알고있고가끔트와노래나오면들음참고로트와이스제외하고소녀시대원더걸스브아걸오마이걸걸스데이마마무라뭄브레이브걸블랙핑크얘네들멤버이름유명한한두명만알거나태연티파니이런아예모름아물론블핑은트와랑비슷한급혹은윗급이라고하긴하는데로제지수정도이름만알고얼굴은모름걸그룹노래굳이찾아서듣진않는데가끔듣는다면트와이스
꼭 형님하고 비슷하게 해가야하나요?,작년말에신랑형이결혼했습니다연달아결혼하느라시댁쪽이약간부디껴하시는데제가임신을한지라년앞당겨졌네여예단을똑같이해가야하나해서요형님네는시부모님이반포쪽에아파트해주셨는데저희는급하게하는거니만큼강서쪽에평아파트해주셨어요형님네는평인데형님네는예단삼천만원에시부모님가방옷천만원에시아버님양장한벌해주셨다는데저는어케해야할지고민이네요구두해드리면될까요시아버님은봄아우터예단은천만원이정도생각하는데형님네랑똑같이해야되는건지아님더적게해도되는건지차남은쫌더적게한다고어디서들은거같은데아닌가그렇다고들은거같긴하네요대신전형님이못한혼수랄까벌써울애기가져가니까
오늘킹덤,랩유닛잇츠원난선우랑휘영이랩을그렇게잘하는줄모르는사람이였음바비는탈아이돌근데이무대로덥즈랑셒구에도저렇게랩을잘하는사람이있구나하게해주는무대라좋았음진짜쇼미나고랩처럼전문힙합프로보는느낌아글구신발에팬덤이름그거너무감동이였다우리그냥즐기자메이플라이나참고로스테이야그래서그냥쓰리라차보려한거였는데와미친민혁왜이렇게멋있어우리애기들한테너무미안한데최종보스처럼나와서묵직한랩뱉고나간이민혁이머릿속을떠나질않음오리라차는진짜힙합보이그룹같이통통튀는느낌이였어동양풍으로무대꾸민것도넘좋았다판에평가단중에랩에대해잘모르는사람도많았고세트로무대를평가하는사람들이있다뭐이런얘기가있는데얘드라쇼미도일반인이현장투표해댄스유닛잇츠원동양풍컨셉개발렸음주연군가마타고오는데진심기절함왕비죽는것도넘슬펐고서사개오짐근데갠적으루멤버가더많았음훨씬웅장했을것같단느낌슾구랑덥즈에춤잘추는친구들많던데메이플라이늑미케이팝고인물우는소리벌써들리고요이용복목소리완전찰떡이고걍스키즈가스키즈하고에이티즈가에이티즈하고프니엘이프니엘했수다
교환 학생으로 한국에서 강의 듣던 일본녀.,음__
[만화] 우리나라 현실,친중매국노경계하자
페미니스트=정신병 확실한 이유,결시친에올라온영남대가강간을덮으려한다는글____공식센터입장문말을교수라고했다가교수라고했다가강간을했다고했다가아니라고했다가자꾸거짓말로번복을함양성평등센터에서적법한절차에따라사실확인과조사를진행하고자동의를구하는데자꾸교묘하게동의는하지않고말을돌리며결국동의를하지않았고하지않는다는취지의문자를보내고강간했다는명백한증거가있다고고소를했는데그명백한증거를왜내놓지못함그리고강간했다는대상이한명이었는데왜자꾸이사람이었다가저사람이었다가왔다갔다함고소할때부총장직의권력을이용해서강간하고묻으려고까지한다고했는데부터부총장직을수행하셨기때문에년에는그냥교수였고권력이런게없었고은폐할수도없었음센터설립이전의일임즉거짓말명백한허위사실로밝혀졌다그리고경찰에협조도하지않고연락도되지않는다고하는데거짓말을해놓고영남대학교부총장님을교수님한분을한사람을한남자를한가정의가장을파탄내고위험하게까지만든정신나간허위사실유포자거짓말과미투로피해를주고명예훼손까지시킨페미교수인김경교수억울하게명예가훼손되신영남대학교부총장님및교수님을응원하며힘이되어드린다고들었습니다여러법무법인들도지지하겠다고강력하고엄중한무고죄처벌한사람의인생을망치고한남자의인생을망치고한가정을파탄낼수있게만들도록거짓말한김경교수에게엄중한무고죄가내려지길바랍니다전국민이모두보고있습니다반대만누르고거짓말만할줄알고비난만욕만할줄아는게페미인가요당당하게이야기하더니또거짓말이네
남편 전여친의 모친상 가라고 해야할까요?,남편이전여친어머니가돌아가시면장례식장에가겠다는데일어나지도않은일을얘기하면서이밤에저화나게만드네요전여친부모님연세가대이기때문에돌아가시네마네이런얘기를꺼내기도죄송하고남편이랑전여친이연락하는사이도아니라서이런얘기를꺼낼필요도없어요근데굳이전여친어머니돌아가시면장례식장꼭갈거라는남편가라고해야될까요가게되면장례식와줘서고맙다이런연락주고받다가오해살일만든다고절대가지말라했더니남편이저보고연애경험많이없어서못가게하는거라고하부들부들저희소개동갑부부두살아들키우는대초반여자에요저희친구소개로년연애해서결혼했고결혼한지년갤됬어요남편이저만나기직전에전여친이랑년정도연애했어요남편이전여친의어머니를년동안자주봤다하더라구요전여친의언니가결혼할때제남편이전여친의친척들한테전여친이랑결혼할사이라고소개되었대요남편이랑전여친이랑대학때놀던무리가같아서서로연락은안해도이런저런소식은서로듣나봐요
강아지가 서운함을 느끼는 순간..,__
마른 여자의 식단,제가한달전에신장체중골격근량체지방량체지방률였는데헬스장다니면서근력운동시작하고음식섭취를많이늘리라고피드백을받아서대로먹던거요즘대까지끌어올려서주조금넘게먹고있는것같아요일단탄수화물을하루에식이섬유제외씩먹고단백질언저리먹고지방은적으면이나많으면대먹을때도있는데그렇게먹기시작하고나서복부에살짝살이붙은느낌이거든요그리고며칠전에인바디를한달만에쟀을때체중이골격근량체지방량체지방률로변했어요근데제가느끼기에는살도살짝붙긴했지만근육이늘었을거라고생각했거든요고작한달이고물론오차범위가있다지만체지방량도늘고동시에골격근량도조금늘었을거라고생각하고쟀는데오히려줄어들어서정말충격받았어요하루에근력운동스트레칭까지하고나오면시간분은지나가던데운동량이못미친다고하기에는제가그전에는홈트를했는데홈트하는것보다는훨씬운동강도가좋아졌을텐데그렇다고또적게줄여먹지는못하겠고골격근을늘리려면먹는것도운동만큼중요하다는데탄수화물하루이면적당할까요단백질도은많은것같은데인바디상으로는단백질부족으로나오고단백질을줄이면다른영양소가늘어나야하는데탄수화물지방그무엇도늘리기가겁나기도하고그리고많이먹는것도클린하게먹어야한다는거알아요저는지금년정도액상과당인스턴트배달음식군것질안먹고있고아침은무지방요거트비건빵토마토프로틴파우더견과류로단백질맞추고지방은점심은흰쌀밥닭가슴살미역줄기볶음시금치무침숙주나물버섯볶음같은반찬들두젓가락씩상추로지방은도채되지않고단백질조금저녁도점심이랑비슷하게먹으면서단백질음식을닭가슴살대신달걀이나두부생선등지방섞인단백질유도리있게먹고있어요저녁은운동후식사이고요운동후프로틴파우더로일단단백질정도바로보충해주고집가서식사로또내외충당합니다하루식이섬유랑당은먹는것같아요탄단지를얼마나잡고가야할지이대로계속먹으면서운동하면될런지점심을시에먹고운동을시반시까지하고저녁을먹는데사이에음식보충을해야할지인바디목매달고싶지않은데실망이너무커서용기내서섭취칼로리탄수늘렸는데이런결과가﻿
전남친 결혼한다고 카톡왔어,전남친이랑헤어진지년조금넘었어년반사귀고나몰래다른여자명만나고있었더라고나는첫연애였기도했고그냥연애할땐믿자는마인드로의심전혀안했는데꼬리가길면밟히더라내가알아버렸지난배신감에충격먹어서우울했고내인생최악의시기였던거같아미련이아닌배신감분노억울함몇달간힘들었어근데지금은그냥신이날도왔다생각하고감사하며사는중건너건너결혼한다고는들었어바람핀명중에한명이다더라이건뭐자기네들사정이니까그렇다치고나한테이런카톡이올줄은상상도못했다뭐축하해달란거야뭔말을듣고싶은거지당황해서답장안했는데진짜어이가없어기가찬다사귈때장난식으로딱한번서로말했던걸굳이이렇게까지나한테말해야되나이런경우겪어본사람있어답장안하는게좋겠지
일반인과 우울증 환자의 차이,__
진짜 한강의대생사건 개에에에소름부분,난다떠나서여자가실종후에사체로발견됐으면여자가그시간에거길간거부터잘못이라는댓이였을거같아서짜증남다들위로나고인에대한명복댓은고사하고그러니까거길왜갔어그시간에술은왜마셨어이런댓이시국에간거부터가잘못이지내말틀림
(방탈죄송)(긴글 주의)신혼인데 저희 부모님때문에 답...,안녕하세요방탈죄송합니다원래쓰려고했는게시판은작성이안되네요제입장에서과거의기억을갖고작성하는글이라사실과약간은차이가있을수있습니다글이너무길어서요약먼저해드리겠습니다년사귄여친과갑작스럽게임신딩크결혼을해야되는상황이왔음결혼준비부터아버지는가부장적이고이기적으로행동함코로나로돈이없어서지원을거의안해주심결혼식준비집가전가구모두처가집에서지원본인들때문에갑자기결혼하게되어결혼자금지원해주시고아파트는결혼안했더라도와이프가들어갈예정이었어서괜찮다고보증금가전가구모두지원해주심제가시간이안되어구정당일만방문가능하여말씀드리니아버지는와이프에게전화해서하루전날설연휴첫날에먼저오라고하심이사실을알게되어대판싸우고명절에안가는걸로되고연락도안드림어버이날까지연락이없으니형제가연락와서어머니는이사실들을잘모른다고말함제가와이프를커버하는게잘못된일인가요본문결혼한지몇개월안된신혼부부입니다다름이아니라글쓰는저는남편인데저희집가족들이이해가안되는데제가이상한건지궁금해서글을올립니다자잘한사건들은그냥패스하고큰사건들만말씀을드리면저와와이프는작년말에결혼식을올렸습니다그전에연애년넘게하였구요나이는동갑으로대초중반사이입니다일단저는개인사정으로모은돈이없고공부하는것때문에오히려돈이나가야되는상황이었습니다그러다가와이프쪽의사정으로임신딩크갑자기결혼이야기가나왔습니다와이프도모은돈이많지않았기에걱정을하였으나처가댁에서그쪽의사정으로갑자기결혼을하게되는상황이니돈은신경쓰지말라고하셨습니다그래서저희집에도말씀을드리니알겠다고하셨습니다저는너무가부장적인아버지를좋아하지않고성격도너무안좋아와이프에게부모님을보여주기가싫어서연애하는동안만난적이없었지만결혼을준비해야되면소개를시켜드리는것이맞기에약속을잡고본가에서만났습니다역시나가부장적으로가만히앉아서티비만보고무표정하게계신모습을보고는화가났지만소개를시켜드리는날이라참았습니다이런저런대화도약간씩은하고밥을먹고는설거지를하는상황이왔습니다저는저희집이기에당연히제가해야된다는생각으로제가한다고했지만와이프는결혼전이라본인이하겠다고했지만제가막았습니다설거지제가하고와이프는옆에서저와이야기를하였습니다그이후에부모님은마음에안든다는식으로말을해서이런저린이유를말했는데너무어이가없어서패스하겠습니다싸우고결혼준비를시작하였습니다조금급하게식을올리게되어생각보다날짜가애매했지만그나마괜찮은시간대로하여예식장을잡고웨딩촬영등을모두진행하였습니다저희부모님께서는사업을하시는데코로나로인해수입이거의없는상황이라지원이어렵다고했습니다그래서처가댁에서지원해주는돈과와이프가모아뒀던돈들그리고제가갖고있던물건들을팔아서조금이라도보태서준비를하였습니다물론아예안주신것은아니지만처가댁에서지원해주신것에비하면솔직히부끄러울정도였습니다그렇게결혼식을올리고신혼여행을다녀온뒤에저희집에서하루를자고는원래의생활로돌아갔습니다참고로처가댁에서는코로나때문에말도많은데뭐하러와서자냐고그냥너희피곤할텐데쉬어라고하셔서쉬었습니다급하게진행한결혼이라집도각자따로살고있었으나결혼준비중에와이프가신청한임대아파트에당첨이되어그리로합치기로하였습니다다만각자살던집의계약으로인해와이프가먼저들어가고저는월까지계약이고일이너무많아월일에들어가기로하였습니다신혼여행을다녀온뒤에도쉬지도못하고평일에는각자일을하고주말에는가전과가구를보러다니며코피쏟아가며지냈습니다와이프가당첨된아파트도결혼이야기전에신청한거라어차피들어갈거였다고처가댁에서보증금전액지원해주셨고가전가구모두처가댁에서지원해주셨습니다이런상황에서당연히처가댁에잘하기위해노력을했습니다월일에이사를하는데원룸에살다가이사를해서짐도많이없어서센터안부르고자차로짐을정리했고월일에도일이많아야근을하는바람에정리가늦어져서월일새벽시정도에짐을모두정리하고이사를했습니다너무피곤해서잠깐잠들었다가짐정리를하다보니새해라는것도잊고둘이서정리를하였습니다그러다가저녁을먹는데생각이나서저희집과처가댁에전화를드렸습니다늦게전화드려죄송하다고하고새해복많이받으시라고하는데역시나아버지께서는불같이화를내시며이렇게늦게전화하냐고하셨습니다새해부터저러니저도화가났지만똑같은사람이되기싫어가만히있다가전화를끊었습니다이사를하면서직장과의거리가너무멀어져서새벽에일어나서출퇴근하다보니평일에는짐정리도불가능해서주말마다짐정리를하고가구도월째주에들어와서정신이너무없었습니다그러다가구정이다가왔으나제가설당일만시간이되어저희집에전화를드려설당일밖에시간이안되어그날밖에못가겠다고말씀을드렸습니다그러자아버지께서와이프에게전화하여아들은못오더라도며느리인너는전날와서집안일도하고배울것도배우고해야된다고하셨다고합니다이것도제가옆에서들은것도아니고와이프가설연휴첫날에먼저가있는다고하여물어보니이야기를해주더군요그이야기를전해듣고는너무화가나서아버지께전화해서대판싸웠습니다집이동네도아니고가려면기차타고가야되는데난그렇게못보낸다가도같이가지왜따로오라고하느냐등등아버지입장에서는제가나쁜놈이었겠지만제입장에서는이게맞다고생각해서와이프편을들면서싸우다보니아버지는끝에그럴거면오지말라고하시고는전화를끊었습니다이러한상황을어머니도아실텐데아무말씀이없으시길래당연히아버지와같은마음이고같이화가나신걸로생각해서두분께설당일에도연락을안드렸습니다그렇게설을지나보내고얼마전에는어버이날이었습니다와이프는설때부터어버이날까지그래도연락을드리는게맞다고말을했지만저는절대하지않았고와이프가전화를해보려고하길래우리집일은우리가처리를하는게맞다고하며전화를못하게했습니다결혼을했는데너무선을긋는게아니냐고하실수도있지만효도는셀프처럼결혼은했지만각자의집안일들큰일들을아니지만이런사소한싸움같은것은각자가해결하는것이맞다고생각을했습니다어버이날마저연락도없으니제형제가연락이와서대화를하였습니다물론서로오해를하고있는것이있을거지만저는제입장에서이야기를풀어나갔습니다제형제가말하기를어머니께서는이일에대해잘모르신다너쓰니랑아버지가싸운것만알고계시지뭐때문에어떻게싸운지는모르신다그것때문에어머니도너쓰니한테전화를하고싶지만너쓰니가불편해할까봐전화를못하겠다고말했습니다그리고저보고하는말이너쓰니가그렇게와이프를막아서면오히려와이프이미지만깎아내리는짓이다라고하였습니다제입장에서는어머니께서싸운걸아신다면남도아닌아들인데전화해서무슨일인지편하게연락할수있다고생각을했습니다그러나연락이없으셔서어머니도화가난줄아셨구요일단제형제가어머니와이야기를해본다고합니다이런저런일들중에당연히제가잘못한일들도있을겁니다다만예전부터저희집안이너무싫은게보였는데이번에결혼준비부터결혼후까지일들을겪으니이건아니다싶어연락을끊었습니다제가한행동들이많이잘못되었을까요그리고이행동들로인해와이프의이미지가안좋아지는게맞나요저는도저히이해가되지않습니다긴글읽어주셔서감사합니다
치킨무에 대한 일본반응,한국인반응치킨무를저값에저거밖에안준다고__
한강 의대생 살인사건인거 확실해요??,왜그렇게확신에차있는거예요
일전에 시어머니가 백명이라고 고민올렸던 사람입니다...,많은분들의조언과질책에글과댓글을전부프린트하여글을올린다음날남편출근후테이블에올려두고떠났습니다사실전친정이없습니다편부가정이었는데아버지도결혼후년만에지병으로돌아가셨어요그래서호텔로가서핸드폰도끄고온전히휴식을취했습니다이렇게오랜시간이흐르고나서야글을적게되는이유는그동안많은일들이있었고제이야기가무단으로페이스북에퍼지면서집들이에왔어서제사정을어느정도알고있던친구들이심히걱정하더라구요결론부터말씀드리면어머님과아버님이별거를하시고어머님은친정식구들과잠시살기로하셨어요남편과아버님이무심했던이유는아주오래전부터어머님이그래왔기때문에문제점을크게인식하지못하고있었다합니다남편은태어나서대학입학전까지이동네를떠나본적이없다했어요그래서어릴때집열쇠를잃어버리면옆집에서어머님이오실때까지기다리고고등학교땐동네아주머니께담배피는게걸려서동네사람들께둘러싸여혼이나고심지어지금도동네마트에서외상까지해오고있습니다그래서자기가잘못된행동을하면바로어머님귀에들어간다라고학습이된거에요아무튼이일로인해제가집을떠난일간남편이집안을뒤집어엎었고여기다다적을순없지만여년간집안일과가정에소홀한것등아버님이쌓아두었던불만도폭발하여수일에걸친다툼이후황혼이별을선택하셨네요저희집은시세보다저렴하게매물내놓은상태입니다둘다이곳에선살고싶지않아서요남편직장때문에멀리갈순없지만그래도다른구로옮기려구요아버지가유언으로시부모님을제부모님처럼사랑하고모시랬는데못지킨게나중엔후회가될수있을지몰라도저도이젠제가정을먼저생각하고제몸부터챙기겠습니다소문도는게빠른동네여서그런지돌아왔어도저한테말거는이웃한명없네요아마저는가정파탄범남편은패륜아가되어있겠죠일반인의상식이통하지않는동네니까요이제이사가서편하게장도보고목욕탕도가고정신과도다녀보려구요제글에같이화내주신네티즌분들께너무감사드리고앞으론안좋은일로네이트판글쓰는일이없었으면좋겠네요여러분들의가정에도평화와행복이가득하길바라겠습니다좋은하루보내세요
자기 애견추가비용 안내는 친구 대처방법,안녕하세요전대후반여자입니다친구커플과저희커플은자주여행을다니는데친구의남자친구네집에있는개를어떨때는데려와요그럼애견펜션으로골라서한정적이고일반펜션보다비싸고애견추가비용도또내죠사람추가비용만큼나옵니다만원이요전개를좋아하지만신경이쓰이니놀러갈때는안데려왔으면하는데친구네남친네부모님이여행을가실땐데려옵니다근데문제는자연스럽게애견추가비용까지포함해서저희커플이랑을해요한두번은넘겼는데어느순간아닌것같다는생각이들어요근데친구네커플은뻔뻔한건지진짜모르는건지자연스럽게넘어가네요주전에도가까운곳에다녀왔는데또그런일이있었어요제가예민한걸까요얄미워요아니라면어떤식으로하는게좋을까요조언부탁드려요
놀이터 미끄럼틀에서 어떤아이가 유리병 덩져서 파편...,조언을구합니다하원후놀이터에서놀고있는데저희딸은개월이며살이에요같은반친구와미끄럼틀타러가려고계단쪽올라가고있었어요갑자기세되보이는아이가유리병을들고다니더니알고봤더니어항이더군요자기가희귀물고기를키우는데그걸다른친구에게자랑하려고놀이터에가지고왔더라구요왔다갔다거리는도중에미끄럼틀위쪽에서유리병이떨어져서깨지더라구요순식간에일어난일이었고그집할머님이같이계셨는데말릴세도없이유리병이떨어졌어요물론실수였겠죠아끼는물고기라는데일부러그랬겠습니까아이도놀래고순간놀이터에있던엄마들이우르르와서자기아이데리고다친데없나확인했어요근데마침제딸이그밑에서얼쩡대다가파편하나가복숭아뼈쪽으로튀었는지살짝긁혔더라고요너무놀래서할머니에게바로가서도대체애어항을왜가지고오게하셨냐말씀드리고혹시몰라몇동몇호인지알아놨어요근데저녁에씻길때보니아까살짝긁힌건줄알아는데그부분이빨갛게부어올라있더라규요이배상청구를해야하나요
