제목,본문,댓글
모범택시 마지막회 가장 심각한 문제는 경기도 같은 게 아냐,좇같은 경기도 지역 포인트 도 문제지만 그건 오히려 사소해진짜 문제는 현재의 공권력만으로 정의를 이룰 수 없다는 인식을 전달한다는 점이야햄머와 공구리와 도라무 같은 수단으로 효과적인 응징과 복수같은 방안이 동원되지 않으면 사회 정의 구현 안된다는이미지가 생길 수 있다고마지막 전화에선 교묘하게 화성연쇄살인범 관련 실제 인물의 복수를 원한다는 인터뷰까지 넣었는데 왜 그랬을까이걸 받아들이는 순간 이재명 색기가 쓰는 편법과 탈법과 불법적인 수단과 공권력의 자의적 이용이 필요한 부분이있겠다는 인식이 스물스물 생겨난다는 점이야누가 그런 머저리 천치같은 생각을 할까 싶지내가 보기엔 한강 사건의 렉카에 이끌린 지진아들은 모두 그 프레임에 쉽게 동조될거라고 본다더구나 안방에 전달되는 드라마를 통해서그게 좇같은 경기도 과도 맞물리면 어떤 현상이 생길까멕시코의 갱단이 지배하는 사회가 곧 남의 나라 문제가 아닌 인간세상의 지옥도가 펼쳐질거야이재명이 놈은 우리 사회의 시민들을 모두 지 수준의 짐승으로 만들고 싶은게 틀림없다혼자 천박하다는게 외로웠을지도그 괴물은 능히 그러고도 남는다지금 경기도에서 보여주듯이,은근히 그런 사고를 심으려고 하는 집단이 있음 도지사 패거리 맞다고 생각 강하게 개혁해야지 도덕적인 게 뭐가 그렇게 중요하냐고 하더라  막상 개혁도 못하고 기득권이랑 붙어먹을 것들이어이털렸음 경기지역화폐가 왜 나오냐고 동감 가끔 진심으로 무식한 소리하는 사람들이 보여서 무서움별로 보지도 안았지만 작가나 감독이 딱 빠일 것 같은 느낌이더라개혁도덕성부정부패적폐비리어이털렸음 경기지역화폐가 왜 나오냐고 별로 보지도 안았지만 작가나 감독이 딱 빠일 것 같은 느낌이더라은근히 그런 사고를 심으려고 하는 집단이 있음 도지사 패거리 맞다고 생각 강하게 개혁해야지 도덕적인 게 뭐가 그렇게 중요하냐고 하더라  막상 개혁도 못하고 기득권이랑 붙어먹을 것들이개혁도덕성부정부패적폐비리동감 가끔 진심으로 무식한 소리하는 사람들이 보여서 무서움드라마는 드라마로만 보는 게 좋지 않을까 말 그대로 범죄오락물이자너님 말에는 부분 동의함
한강사건 역대급으로 많이 전문가 목격자들 섭외했다는 그알 인터뷰들,,손씨 아버님 죽어라 키운 캐릭 삭제되신 느낌이신 거에요자식을 두고 누가 만들어놨다란 표현을 하죠끝에서 번째는 이거 생각난다이번 한미정상회담 뽕이랑 백신접종 속도나는 뽕 가실때까지 언론서 물고 늘어질꺼임 이거 갖다가 세월호에 비비는거 봤잖슴 걸국에 언론이랑 렉카충들한테 단물 쪽쪽 빨리고 유족들이 제일 불쌍해질꺼임씨 아버님 보살이시네 나도 아이 키우는 입장에서 자기 자식이 저정도로 린치 당하면 어지간한 부모들 눈 돌아가고도 남는다그리고 케븅신이 섭외한 전문가심리적 동조화 현상으로 설명할 수 있는데 자기도 충분히 겪을 수 있을 만한 상황이기 때문에 더 관심을 갖는다는 거죠시발 하다하다 시방새보다 못하냐손씨 아버님 죽어라 키운 캐릭 삭제되신 느낌이신 거에요자식을 두고 누가 만들어놨다란 표현을 하죠내 아들이 죽은게 아니라 내 아들이 죽은 거라니까끝에서 번째는 이거 생각난다그알이 이래도 헛소리 할래 하고 인터뷰 딴거 같은데 응 안믿죠그러고보니 저 사이에 조원철 교수가 끼여있네 그 대강 관련해서 물 보고 기분나쁜 적 있다던 이젠 퇴임해서 명예교수 직함 받은건가이렇게 모아놔도 의심하고 욕하는 씨새들이 널렸는데이거 대체 몇개월 가려나이번 한미정상회담 뽕이랑 백신접종 속도나는 뽕 가실때까지 언론서 물고 늘어질꺼임 이거 갖다가 세월호에 비비는거 봤잖슴 걸국에 언론이랑 렉카충들한테 단물 쪽쪽 빨리고 유족들이 제일 불쌍해질꺼임으아아아악 씨 아버님 보살이시네 나도 아이 키우는 입장에서 자기 자식이 저정도로 린치 당하면 어지간한 부모들 눈 돌아가고도 남는다 하지만 유튜버한테는 확실하게 대응하면 좋겠다그리고 케븅신이 섭외한 전문가심리적 동조화 현상으로 설명할 수 있는데 자기도 충분히 겪을 수 있을 만한 상황이기 때문에 더 관심을 갖는다는 거죠시발 하다하다 시방새보다 못하냐술먹고 안타깝게 죽은 애를 애비가 술쳐먹고 뒈진 애로 만든게 아닌가 싶다억울하게 죽은 인재 도 할 말 없지 않나 그냥 꼬리자르기 밖에 더할까
한강 사건이 이렇게까지 커진 근본적인 이유,, 저 사람은 자식을 키운게 아니라 자기의 명성을 드높일 물건을 키운거임그걸 잃어버리면 허탈하지 오열하진 않잖아내가 말했지 자식 잃은 아버지 눈빛이 아니라고왠지 좋은 학군에 있을 전형적인 부모상이 아닐까 싶었는데 빗겨나가질 않네마지막 말은 소름돋네마지막 말은 소름돋네왠지 좋은 학군에 있을 전형적인 부모상이 아닐까 싶었는데 빗겨나가질 않네내가 말했지 자식 잃은 아버지 눈빛이 아니라고울먹이거나 힘겨운 모습이 안보임소시오패스 아냐 저 사람은 자식을 키운게 아니라 자기의 명성을 드높일 물건을 키운거임그걸 잃어버리면 허탈하지 오열하진 않잖아니말이 더 무섭잖아 맞아근데기껏 자기의 명성을 드높일 물건이 중대의대임애잔하지도 않다사실 고인 아버지 인터뷰를 영상으로 본 적이 없는데 인터넷에 돌아다니는 이렇게 캡쳐된 스틸컷만 보면 하나같이 애통해하는 모습이 하나도 없음 인터뷰라고 하고 다니는 워딩도 죄다 자기 체면 자기 보상 자기 중심이고무언가를 상실한다는 것은 사람을 날카롭게 만든다하물며 그게 자식이라면 더 이상 말할게 없지결국 그런 날이 바짝오름으로 인한 의심 절묘한 사연으로 인한 많은 이들의 공감그리고 정부에 대한 불신과 반감이 뒤섞여서한강살인사건이라는 촌극을 낳았다간만에 비추 날려본다 한강코난 어서오고이섹낀안끼는데가 없네어제도 비추만 처먹다도망간놈이 새벽이라 기어나오는거너거 동네가서 쳐하루종일 개잦같은소리만하는구나개소리를 정성껏 써놨네 이 댓글은 언제까지 살아있나 보자 노잼관종 사이코패스아들을 만드는 거냐 그런 아들이 죽으면 그게 리셋인 거냐 자식 잃은 부모라서 말 아꼈는데 삼성 간부 면 배운만큼 배웠을 텐데 단어 선택의 실수인 거야 진심인거야대부분의 한국 부모들이 잠재적으로 저런 마인드를 가지고 있지 반성해야할 부분임이 사람이랑 다를게 없었던거네관상이 똑같아근데 저 아버지만 아니라 의대생 부모들이 유독 저런 사람이 많더라 의대 옆에서 원룸하는데 의대생이 많거든 자식 일거수일투족에 참견하고 통제하려는 부모가 많음의대생 부모들 자기들끼리 커뮤니티 이루니까 양산형이 될 수 밖에 그 커뮤니티 내에서 선민의식이 형성되고 계층이 생기지의대생 학부모회도 따로 있는거 모름 의대만 그러냐 대부분 부모들이 자식을 본인들 대리만족으로 생각하는 경우가 많다 울 나라 교육문제의 원인혹시 정치에 뜻이 있으신가역시 스카이캐슬조차  현실을 따라가지 못하는구만당연하지 원래 서울에서 입시컨설팅하는건 년도 더 전부터 유명한거자나 
그알 정인이 사건 기억해,충격적인 그 사건을 알리고 조명을 받았던 그알이그 이후에 노골적으로 정부를 까는 편을 방영했었지그래서 이번 한강 사건 에피소드가 내용을 떠나서 좀 불편하더라왜 갑자기 정상적으로 행동하지 란 불안감이 먼저 들었음이 새끼들 또 뭔가 꿍꿍이를 꾸미는 게 아닌가 싶어서 말이야이러면 좀 정치병자 같으려나,원래 한번씩 정상적인걸 해줘야나중에 물타기가 가능하지그알 잘알이면 그렇게 많이 예상하지  담주는 주제가 뭘까원래 한번씩 정상적인걸 해줘야나중에 물타기가 가능하지그알 잘알이면 그렇게 많이 예상하지  담주는 주제가 뭘까살인이엇던 같은뎅
암만봐도 한강에 과몰입한건 딱 그 부모 정도 나이임,젊은층도 있겠지만 박종철 열사 찾고 어쩌고 하는거 보면 딱 그거 아니냐 보수 대학생대 ,난 이생각 밖에 안들더라유튜브에 과몰입하는 연령대도 딱 그거니까저번에도 북유게에서 나온 분석이지만저 한강의대생이 그 시대의 워나비 집안삼성다니는 아버지 그리고 서울대 의대생그 시대의 로망이 다 담긴 집안이다보니 더욱더 애착감을 가진다는 그런 분석이었지네이버 댓글 보면 대 여성이 젤 많이 쓰는거 같더라빼애액 나 여고생인데 동년배들 다 타살이라고 한다유튜브에 과몰입하는 연령대도 딱 그거니까네이버 댓글 보면 대 여성이 젤 많이 쓰는거 같더라저번에도 북유게에서 나온 분석이지만저 한강의대생이 그 시대의 워나비 집안삼성다니는 아버지 그리고 서울대 의대생그 시대의 로망이 다 담긴 집안이다보니 더욱더 애착감을 가진다는 그런 분석이었지서울대는 아니고 인서울은 맞음난 이생각 밖에 안들더라빼애액 나 여고생인데 동년배들 다 타살이라고 한다혹시 취업 집값 코인 분노한다는 도 실상은  본인이나 그들 자식 아닐까 어제 베글보니 대부분 코인한다는 기렉 야당 커뮤 피셜과 달리 실제로는  퍼 정도만 한다고 영끌로 집 많이샀다는 것도 실상을 알고보면 고가 다주택 안내놓으려는  부모들의 증여가 많기도 할거고젊은층 많아맘카페에서도 아주 난리도 아니었지아무리 그래도 죽은아버지보다 더힘들겠냐고 그러더라고령대 다니시는 분들이지어제온사람들이 대부분 엄빠나잇대던데자식잃어본사람이라 공감된다고 그냥나온사람도있고 글트라노인대학 다닐 수도 있으니 대학생이라면 대학생이겠지 머
한강 사건이 말해주는 대형렉카와 좋소렉카의 차이,좋소렉카  어떻게든 끌고 갈려고 함대형 렉카  안뭄,꼴에 대형렉카라고 안 무넹일반인 실명공개 명예훼손은 빼박이니까렉카도 전문가와 아마추어가 존재하구만주호영나경원은 좋소렉카인거인가 그럼 물었던데 맞네꼴에 대형렉카라고 안 무넹일반인 실명공개 명예훼손은 빼박이니까맞네렉카도 전문가와 아마추어가 존재하구만주호영나경원은 좋소렉카인거인가 그럼 물었던데 유튜브영향력은 중소긴하지이준석한테도 밀리잖아 응 신의한수는 대형 렉카아닌가
한강 사건으로 알아보는 많은 가해자들이 가지고 있을 마인드,,정신병자의 자기합리화내가 너를 괴롭힌건 니가 의심 살 짓을 해서임인가수백 수천명이 나 잡겠다고 야차처럼 달려드는데 변호사 좀 컨텍한게 뭐가 잘못이지인정투쟁이지 여기서 자기 잘못 인정한다는건 하늘이 무너지는 고통일테니까 그래서 고소장으로 참교육 시켜야 한다는거임니가 꽐라 돠서 똑같이 해봐 시불진실은 진실이고 니가 의심받을 짓 했잖아 라는 논리구먼 정신병자의 자기합리화파이코인 광고 올릴거면 옵파이 사진이라도 올려 새끼야니가 꽐라 돠서 똑같이 해봐 시불아니 인지부조화가 뭔내가 너를 괴롭힌건 니가 의심 살 짓을 해서임인가수백 수천명이 나 잡겠다고 야차처럼 달려드는데 변호사 좀 컨텍한게 뭐가 잘못이지누가 양심이 지능이라던데 저 꼴 보니 참 멍청해보인다니가 그 의 입장이 되보길 바란다진실은 진실이고 니가 의심받을 짓 했잖아 라는 논리구먼 치루는 똥꼬에 나는 게 치루장례를 치르다인정투쟁이지 여기서 자기 잘못 인정한다는건 하늘이 무너지는 고통일테니까 그래서 고소장으로 참교육 시켜야 한다는거임엊그제남유게에 현대사회의 장점  단점 베플 올라간거 있었음난 그거랑 똑같은 대비로민주주의의 장점  단점인터넷맛폰의 장점  단점말할 수 있다변호사 없었으면 빼박 용의자 신분으로 조사받다가 바로 재판갔을 듯타진요 시즌조진요가 있었으니까 시즌실족사가 맞는것 같습니다밑으로 죄다 지 감정미안하든 안하든 당최 누가 신경씀솔직히 대 남자 둘이서 술마셨는데 다음날에 잘 들어갔냐고 전화하는 사람이 어딨냐 인실좇으로 울어라자기 잘못을 받아들이지 못하는 최후의 방어기제가 발동한거같네 사람이 저렇게 뻔뻔해지고 추해지는거지추하다 고소나 당해라나를 의심하게 만들다니 네가 나빠와 미친
오늘자 그알 한강 시위자들의 선넘은 발언,박종철 열사언급연쇄뿅뿅살인마이춘재 언급,능지수준무슨근거로 저러는거야나이쳐먹고 피부마녕 뇌도 쳐 쪼그라들었나 시펄 갸소리를 무뇌아 보다도 못한 수준으로 하네지역가르기 뭐 그런거 절대 아니지만 한강 불법집회때랑 추모때 대구랑 부산에서 올라오신분들도 있다고 기사에서 인터뷰 나온거봤는데 위에분들도 거기서 온거 같애머리속에 아는거 모아 모아서 억지로 우기는 수준동갑내기 자식 있다는 아재도 웃김능지수준무슨근거로 저러는거야그것은 무한한 상상력에 기반한 근거임나이쳐먹고 피부마녕 뇌도 쳐 쪼그라들었나 시펄 갸소리를 무뇌아 보다도 못한 수준으로 하네지역가르기 뭐 그런거 절대 아니지만 한강 불법집회때랑 추모때 대구랑 부산에서 올라오신분들도 있다고 기사에서 인터뷰 나온거봤는데 위에분들도 거기서 온거 같애머리속에 아는거 모아 모아서 억지로 우기는 수준동갑내기 자식 있다는 아재도 웃김도대체 뭐가 비슷하다는 거야이춘재 얘기 왜 할까 찾아봤더니 타살 믿는 사람중에 친구가 자기 전여친도 죽였다고 믿는 사람 있더라 그래서 연쇄 살인범이다 이거임나도 무수 소리인지 도저히 이해가 안 감약간 저것도 급발진의 유형같음그 교회다니는 사람들이 동성애자들 싫다면서 나도 쟤들한테 똥섹 당할까봐 무섭다는 이상한 망상에 사로잡혀있는것하고 비슷한듯세상엔 의외로 정신이 아픈사람이 많어저렇게 같은 말이 나온다면 또 어떤 렉카유투버가 비슷한 말을 했던거겠지저런 걸 방송에 내보내는 가 정말 악질이지피디도 그렇고뿅뿅들이라는 논조로 내보낸 장면이긴 함경찰이 불신받는 이유지 뭐이건 정말 업보다 업보
내가 유게에 한강사건 반박 올렷는데,이짤로 팩폭 걸어버리니까 숨은 디첩 벌레들 다 튀어나와서 반박 중 진짜 팩폭 걸면 부들부들 하며 튀어나오는건 벌레들 특성인거 맞음 ,비추 숫자 보니까 역시나 한강사건을 어떻게든 세월호처럼 만드려고 발악 하는게 너무 보임 정작 지들은 벌레들 폭식 시위에 세월호  이라는 능욕 기사까지 써낸 주제에 내로남불도 이런 내로남불이 없더라비추 왜그래 여기까지 쫓아온거임 지금도 있네 그런듯 아마도저래놓고 디첩애들 세월호 하루카씨 사건은 어떻게든 묻으려고 루리웹에서 조회수 조작까지 하고 있던데 원래 유게 등 조회수 베글이었는데 등으로 내려감박근혜 탄핵이 세월호가 원인이라고 생각하는지이 정권 내내 누가 사고로 죽기만 하면 와 하고 떠드는게 너무 투명해지금도 있네 비추 숫자 보니까 역시나 한강사건을 어떻게든 세월호처럼 만드려고 발악 하는게 너무 보임 정작 지들은 벌레들 폭식 시위에 세월호  이라는 능욕 기사까지 써낸 주제에 내로남불도 이런 내로남불이 없더라비추 왜그래 여기까지 쫓아온거임 그런듯 아마도저래놓고 디첩애들 세월호 하루카씨 사건은 어떻게든 묻으려고 루리웹에서 조회수 조작까지 하고 있던데 원래 유게 등 조회수 베글이었는데 등으로 내려감박근혜 탄핵이 세월호가 원인이라고 생각하는지이 정권 내내 누가 사고로 죽기만 하면 와 하고 떠드는게 너무 투명해사실 그거말고도 더 많은데 판검애들이 빠르게 판결내려서 아직도 이랑 순 죄과 인정 안된 비리가 얼마나 많은데 솔직히 정유라도 감옥갔어야 했는데 아직도 멀쩡히 있는거 보면 한숨 나옴
한강사건 요약, 언론 믿지마 일베를믿어,지능이 딸리는것들이 유튜브 광신하더라대표적인 예 찢파리들 찢긴노공감티브이 광신하잖아저거보면 노인층도 유투브 세뇌 많이 됐구나 싶음진짜 때리고싶운 쌍판이다 이새끼 사업가도 아니고 엠생 백수라더만 일베가 헌국의 중심을 지고 있어요저거보면 노인층도 유투브 세뇌 많이 됐구나 싶음지능이 딸리는것들이 유튜브 광신하더라대표적인 예 찢파리들 찢긴노공감티브이 광신하잖아굳이 이재명박이들 뿐인가 뻑가에 뇌를 의탁한 보리수새끼들이 이재명박이들보다 더 많이 보이더라 경상도에서 올라오신 분들인가 주옥순부대이신가 참 보기 거북하네요 일베가 헌국의 중심을 지고 있어요진짜 때리고싶운 쌍판이다 이새끼 사업가도 아니고 엠생 백수라더만자기 머리로 생각 못하는 찐따 새기들이라는 거지사이언스네 자식들이 벌어다 주는 돈 혹은 나라에서 주는 돈 저런데다 보내주고 그러는 노인들 진짜 불쌍하지도 않다 이제이순간 안방에서 문열고 주무시는부모님들 깰까봐 거실서 입틀어막고 웃음 참느라 뒤지는줄 알았다 유튜브도 그냥 이대로 방치하면 안됨 커뮤니티도 그렇고
그알 한강 감상평,어휴 맞말이다,애비놈 깽판친건 다 잘랐지만 이정도만 해도 어디야고장난 시계도 두 번은 맞는 법이니라트위터가 왠일로 맞말을 요약 잘했네맞말추애비놈 깽판친건 다 잘랐지만 이정도만 해도 어디야헐 애비가 천룡인임천룡인인진 모르겠고 사이코패스같에아이 미친 색기야넌씨눈 소리 자주 듣고 살지트위터가 왠일로 맞말을고장난 시계도 두 번은 맞는 법이니라맞말추 요약 잘했네
한강실종사건 코난들의 주장이 맞다면 군 아버지는,경찰 매수검찰 매수기자 매수변호사 매수언론 매수 매수편의점 알바 매수낚시꾼 매수그것이 알고싶다 매수그알 범죄심리학자 매수국과수 매수 매수택시기사 매수김상중 매수유일하게 매수못한 사람 유튜버 ,무엇보다 이수정은 지들편일텐데 어떻게 매수했대거 이재용도 감옥가는데저게 다 매수가 되다니근데 저 중에서 매수하기 젤 쉬운게 유튜버임 심지어 아예 유튜브는 걍 돈주고 영상 만들고 조회수 구독자도 뻥튀기 시키는게 가능함 트자코의 난 생각나네 자기들 빼고 모든 인터넷이 최빠한테 먹혔다고 주장했지 매수 성공률 퍼  신급일쎄무엇보다 이수정은 지들편일텐데 어떻게 매수했대트자코의 난 생각나네 자기들 빼고 모든 인터넷이 최빠한테 먹혔다고 주장했지 확실히 최빠에게 먹힌게 맞는거같애양 •▽•거 이재용도 감옥가는데저게 다 매수가 되다니매수 성공률 퍼  신급일쎄소방관도 있어 도근데 저 중에서 매수하기 젤 쉬운게 유튜버임 심지어 아예 유튜브는 걍 돈주고 영상 만들고 조회수 구독자도 뻥튀기 시키는게 가능함  진짜 군이 살해했고 저정도 매수 가능하면 살인청부업자를 찾아서 매수하는게 더 싸고 쉽게 먹혔겠는걸한강 사이버 렉카들 수익 보면 고작 천만원이면 매수할 수 있는데 저런 권력과 재산을 가지고도 냅둔다고 풀매수 코인이야
이번 한강 사건 반박에는 이 짤이 최고다 진짜로,이거만큼 팩트인게 없음정작 평택 노동자 사고사 한건 묻어버린 기레기들,싫은데요싫은데요
