제목,본문,댓글
“이젠 만들 수 있다” 현무  는 中 압박’ 화룡점정,중국 대륙 전역과 일본 열도 전역을 사정권으로 넣는 탄도미사일과 극초음속 비행체와 극초음속 순항미사일을 즉각개발해야 된다중공과 러시아 북괴는 아예     등을 다가지고 있고 일본놈들도 엡실론로켓이라고 으로 전환가능한 민간용 대형 단 고체연료 우주발사체를 가지고 있는 마당에 주변국들 눈치볼필요없다그리고 북괴 중공 러시아 일본이 하면서 보복을하면 맞대응 하는 동시에 지들은 다가지고 있는 주제에 뭐라는거냐하고씹으면 그만이다또한 저건 미국이 뒤봐준다는 소리니 미국한테도 도움을 요청하면 그만이고,크고 우람한 현무친환경 핵폭탄급 무기크고 우람한 현무친환경 핵폭탄급 무기
인천 경찰 근황,범죄자가 범죄자를 잡아야 하니이 얼마나 코미디 같은 세상인가,아수라네스트라이크 아웃제가 필요하다아니 뭔 스토킹을아수라네아니 뭔 스토킹을스트라이크 아웃제가 필요하다스토킹 돌았냐 
이낙연의 충격적인 사진 공개한다,충격 사진 포즈가 밀랍인형이 아닌 사진 공개이게 정면이래, 무슨 전대물 포즈같은데 춤추는 동작이 나와야 대권주자 인증인데따 딱봐도 별맞네낙연특전대 춤추는 동작이 나와야 대권주자 인증인데 무슨 전대물 포즈같은데 따 딱봐도 별맞네낙연특전대 손재주만 있었어도 모에화버전 그리고 싶은데구호를 외쳐야지
손정민이 억울해서 영혼이되어 나타났다던 유투버커피숍 로고로 밝혀지자 ,저기요 방송에 나온건 왼쪽 종이봉투 입니다,스벅 안 가본 새끼들용진이가 일베라서 불매하는거면 인정스벅 이냐 밤에보면 무섭긴 하다 환장하겠다무당보다도 못한 넘들스벅 이냐 무당보다도 못한 넘들밤에보면 무섭긴 하다 환장하겠다스벅 안 가본 새끼들용진이가 일베라서 불매하는거면 인정무당도 아니고 그럼 그렇지 바보들진짜 가지가지한다 저 사람이 몰라서 그런게 아닐 수도 있지않을까 저 사람입장에서야 왼쪽 종이봉투가아니라 오른쪽만 보여주고 보세요 안맞죠 제 말이 맞습니다 만 해도음모론자들이 맞네 스브스가 쥬작햇네 할거아냐 고인능욕하네찐 정신병자들  저딴걸 보는 놈들도 병신들이지
대구 백신 접종이 심각하네,마산 부모님은 금요일에 백신 접종 하셨는데대구 장인어른은 접종을 못하셨네백신 한 병을 개봉하면 최소 일곱 명은 예약해야 되는데두명밖에 예약을 안해서 접종이 미뤄졌데대구 접종률이 안좋다 어쩐다 하더니 실감이 됨근데 거기는 잔여 백신 접종도 안하나안할꺼면 걍 다른 지방에 주면 좋겠다,대구는 영진이  문재인 빨갱이 콜라보라 기대하면 안됨는 경북 안동에서 생산하는게 아이러니네 여기 거기 사는 사람들 글 보면 애초에 예약율이 적어서 잔여백신도 안남는 모양이던데예약율이 높아야 물량이 충분히 들어가지그렇게 접종을 모여서 할 정도면기레기들 덕분이야아니 대구는 접종독려를 왜 안하는거래기레기들 덕분이야아니 대구는 접종독려를 왜 안하는거래여기 거기 사는 사람들 글 보면 애초에 예약율이 적어서 잔여백신도 안남는 모양이던데예약율이 높아야 물량이 충분히 들어가지그렇게 접종을 모여서 할 정도면대구는 영진이  문재인 빨갱이 콜라보라 기대하면 안됨장인 어른도 그 부류시긴 한데처남이 백신 맞으셔야 된다고 하도 말을 해서이번에 별다른 말 없이 맞으시는거다른 집도 어르신들 좀 챙기면 좋겠는데우리 본가가 대구인데 어머니 접종할때 난리도 아녔어는 경북 안동에서 생산하는게 아이러니네 이대로 가면 백신접종자에 대한 인센티브가 지역별로 확 차이가 날 텐데 징징이가 그걸로 또 대구경북 홀대론으로 써먹겠네누가 보면 아스트라가 중국에서 만드는줄 알겠네안동에서 만드는건데울산이나 경기도는 경제활동인구 비중이 높다는걸로 쉴드가 가능한데대구는 진짜 정치랑 엮인게 크긴한듯내가 사는 동네는 왜 예약취소가 안 일어나는가대구사는데 식당손님들중에 어르신들은 대부분 백신욕하면서 예약은 다해서언제 맞는다 얘기들 많이 하시던데글에 쓰인 대로 명이 모여야 백신 개봉을 하기 때문에 개봉 안 한 백신은 결국 그 곳에서 쓰이든 다른 곳으로 가든 버려지는 것은 아니고잔여백신이라는 것 자체가 예약을 했다가 취소를 했다든지 여러가지로 못 맞아서 그냥 버려질 백신을 맞는 거니까 예약률 자체가 높지 않으면 잔여백신 자체도 많이 나오지 않을 거임대구가 대구했네지인지조덜맞았긴 하지만삐딱하게 보는 사람들 생각만큼은 아니지일단 우리 어머니는 맞는다 하다가 안맞는다는거 내가 설득해서 직접 예약했고잔여는 내가 한번씩 앱으로 노리는데 안나오더라이제 나중에 대구만 접종율 낮으면 정부여당이 대구 미워하고 차별해서 백신 안 줬다 이럴듯 진짜 그렇게 지껄인다면 진심 사람의 자식이길 포기한거지 갑자기  집회 당시 우파만 양성질 당한다’라고 난리치던 주옥순네 패거리들이랑 네베 틀극기들이 생각나서 소름돋네저기는 코로나로 지역사회 붕괴되어도 문재인 개객끼하면 끝인 동네 아님
어제자 그알 손정민 사건 요약,,연대 조원철 저사람 물 좋아해서 대운하찬성하고 물난리 맞은 냥반아녀이수정은 왜 저기에 껴있다냐사실  행인이깨워서 물에 들어갔다는 저 사람 추측이고그럴 가능성이 높다림선거 실패 했으니 밥그릇 찾으러이수정에 조원철에 분명 담주에 개소리 할려고 빌드업 하는거같다 그알이수정은 왜 저기에 껴있다냐선거 실패 했으니 밥그릇 찾으러이수정에 조원철에 분명 담주에 개소리 할려고 빌드업 하는거같다 그알사실  행인이깨워서 물에 들어갔다는 저 사람 추측이고그럴 가능성이 높다림최근에 코난들은 제자의 범행이다 라면서 음모론 만드니까뻘이 진짜 위험함 전차포 사격 훈련 갔을 때 거기 훈련장이 하도 장비들이 굴러 다녀서 그런지 몰라도 흙입자가 진짜 고움 근데 비오면 진짜 뻘 밭됨 전투화 신고 가는데 발이 안빠져서   연대 조원철 저사람 물 좋아해서 대운하찬성하고 물난리 맞은 냥반아녀맞네  순간 못알아볼뻔물빨하다가 크게 대이신 그분
난 한강사건 초기부터 지금까지 느끼는건 딱 하나야,대체왜,우리나라  터졌을때 문재인 대통령은 뭘 했냐는 소리군원조가 미국아니얔실제로 있긴 했겠지만 저 짤은 드라마인가 예능의 한 장면인 걸로 기억함와미국도저런사람이 존재하는구나저런건 아니고 오바마 케어 반대 하러 시위 나온 사람한테 질문 하니까 오바마 케어가 먼지 모르는 짤은 있었지우리나라  터졌을때 문재인 대통령은 뭘 했냐는 소리군실제롲 김대중때문이라는것들 있었음와미국도저런사람이 존재하는구나원조가 미국아니얔실제로 있긴 했겠지만 저 짤은 드라마인가 예능의 한 장면인 걸로 기억함저런건 아니고 오바마 케어 반대 하러 시위 나온 사람한테 질문 하니까 오바마 케어가 먼지 모르는 짤은 있었지
그알 이제 정부까기 시전할듯,글로벌 백신 허브의 진실제목 이렇게 할 듯,걔들 그 목사 까는 방송 이후 정부 비판스탠스 유지하고 있음 내부 인력 학살수준으로 갈려나갔다던 소문이 난 어제도 안 봄 아예 손절해서저번에 그 주제로 했는데 정부가 너무 잘해거 깔게 별로 없네난 작년  얘기 했을때 그알 손절함어제 간만에 본거고난 인천교구 성추행사제 다룰때그 피해자일수도 있다고 하며 거론한 사망한 세 분 입학동기 신부님 모두 그 면직당한방송이후 전 총장신부와는 접점이 안맞았거든 심지어 세 분 모두 자살한 것처럼 다루었지만 한 분은 심부전증으로 선종하셨고내가 세분 신부님들과 같이 신학교를 다녔던 후배였기 때문에 개인적인 사유에 대해서야 완전히 알 수 없어도 그 외 부분은 모두 다 왜곡해서 방송했음 그 날 이후로 손절함걔들 그 목사 까는 방송 이후 정부 비판스탠스 유지하고 있음 내부 인력 학살수준으로 갈려나갔다던 소문이 난 작년  얘기 했을때 그알 손절함어제 간만에 본거고난 어제도 안 봄 아예 손절해서난 인천교구 성추행사제 다룰때그 피해자일수도 있다고 하며 거론한 사망한 세 분 입학동기 신부님 모두 그 면직당한방송이후 전 총장신부와는 접점이 안맞았거든 심지어 세 분 모두 자살한 것처럼 다루었지만 한 분은 심부전증으로 선종하셨고내가 세분 신부님들과 같이 신학교를 다녔던 후배였기 때문에 개인적인 사유에 대해서야 완전히 알 수 없어도 그 외 부분은 모두 다 왜곡해서 방송했음 그 날 이후로 손절함저번에 그 주제로 했는데 정부가 너무 잘해거 깔게 별로 없네가능성 있다 정인이 사건 때 그 테크트리를 잊지 말아야 한다조만간 백프로로 정부 까기 시전 할거임일단 어제도 말미에 인터뷰딴거 정부까는거더만  무슨 정의가 무너져서 폭발한거다 이런식으로 마치 현정부에서 대단히 경찰의 비리가 늘어난가처럼 말하던대근데 이번 사건에 경찰에 뭐 잘못 한게 있음이번엔 딱히 없는거같은데그런데 그 알에서 어떻게든 경찰 까네
한강 사건을 보면서 느낀 두 가지,힘드네 어쩌네 그런거 다 엄살처먹고 살만하니까 방구석에서 배 긁으며 지랄 엠병짓 하는거 맞다 기레기 렉카 코난들 모두 말이다이 시국의 안정은 정부와 의료진들이 다 했네 또 한편으로 한국이 힘든 이유는 이런 인식들이 모여 의식을 형성해서 만들어낸거지무슨 말이냐면 가장 중요하고 개선을 촉구해야할 일은 모른척하고 무관심하며 그냥 자기들 분풀이용으로 쓸때나 분노하고넘어갈 뿐이란거헬조선은 결국 우리가 만들어낸 결과물이다,평택 이선호씨 위해서나 저렇게들 하지평택 이선호씨 위해서나 저렇게들 하지
내가 알던 지잡기자  한  조기자 썰,지잡기자라고 하는 건 레알 지잡기자라서 그럼한명은 강원도 쪽 지방지 기자였는데 어쩌면 나한테 이모부가 될수도 있던 사람이었음나름 말빨은 좋았고 인물은 그냥 평범한 수준이었는데 문제는 음주운전이 상습이었음그런데 지역에서는 차에 취재라고 써 붙여있고 기자증을 달고 다니다보니 경찰들도 그냥 넘어가주고 하던 시절이라음주운전이 상습이 된거였음 결국 음주교통사고를 냈고 그 뒤로 못봄또 한명은 모 지역 한기자 출신이었는데 실제로는 선거판에 드나드는 선거낭인이었음모시던 장관님 빽으로 꽂혀 들어간건지 기자하다가 만난 건지 몰겠지만그 사람이 회사 법카로 술집드나들고 해서 짜증나던 사람이었음 결국에 성병 걸려서 사무실 냉장고에 약넣어두고참 씨바매번 퇴근하려면 술마시러 가자 노래방가자매날 하던 소리가 내가 후배들한테 취재하라고 하면 수틀리면 누구든 기사로 괴롭혀주겠다 였음만덕산 라인이었는데 회사 내부에서 다툼도 있고 하다가 암튼 선거철되서 무슨 언론 특보 한다고 회사서 나갔음또 한명은 조일조 기자출신이었는데 당시 장자연 사건이 이슈얐을때였는데 그 인간이 한 말이 이랬음연예계에서 지들 뜰려고 몸 주는 애들있다저거 수사 제대로 안될거다그러다가 갑자기내 딸이 지금 고등학생인데 공부를 잘한다장자연 이야기하다가 갑자기 자기 딸 자랑하는 거보고 이사람 뭐야 싶더라한줄요약요즘이던 예전이던 기자수준은 동질성을 유지하고 있다고 본다,술집다니다가 성병 드럽다참기자는 부뚜막 때 다 죽었거든 부뚜막이 다 쥭임마지막은 그냥 말 돌린 거 같은데와 너무 막연해서 절대 한례 기자인줄 모르겠어요민주정론 한겨 기자님이 그러실 리가 없지난 치과에서 일하는데 처음 온 환자에게 어디가 불편해서 오셨어요 묻잖아말없이 지 명함 꺼내서 보여주는 건 기자밖에 못 봤다  뭐지 나는 기자님이고 너를 되게 할 수 있으니까 내게 거디칭 생각 말아라 이 이빨기술자야 이런건가술집다니다가 성병 드럽다참기자는 부뚜막 때 다 죽었거든 부뚜막이 다 쥭임참기자는 이후로 죽었지 박종철 고문치사사건을 목숨내놓고 세상밖에 알려지게한 윤상삼기자같은 사람 이 사람은 여니 후밴데 술 엄청좋아하고 술많이마시다 간암으로 별세함마지막은 그냥 말 돌린 거 같은데와 너무 막연해서 절대 한례 기자인줄 모르겠어요민주정론 한겨 기자님이 그러실 리가 없지난 치과에서 일하는데 처음 온 환자에게 어디가 불편해서 오셨어요 묻잖아말없이 지 명함 꺼내서 보여주는 건 기자밖에 못 봤다  뭐지 나는 기자님이고 너를 되게 할 수 있으니까 내게 거디칭 생각 말아라 이 이빨기술자야 이런건가거디칭사기칠 오타 뭐짘진짜 쓰레기구나 양아치들이네수틀리면 누구든 기사로 괴롭혀주겠다 시발 이게 기자냐 뒷골목 양아치 깡패지마지막은 주변에 다른 기래기 있어가지고 말 돌린게 아닐까 싶다우리나라 언레기들은 사회에서 쓰레기 취급하고 밟아줘야 눈치보는 척하면서 사람 모양으로 살 수 있다침뱉는 국민들에게 고마워해야 한다
강제 퇴거 당하는 세입자의 눈물,,어린나이에 고생이 많네 이 나이에 나보고 어딜 가라고 이러시오 아이  아 몰라 배째엄빠침대로 강제이주 예정어린나이에 고생이 많네 아이  아 몰라 배째이 나이에 나보고 어딜 가라고 이러시오 엄빠침대로 강제이주 예정 아이고 엄빠사랑도 빵해야되는데  어쯔카니 
윤석열 친이 노선 타면서 디시에서 개빨림,디시  일베가 윤석열만이 우리나라유일의 희망이라면 존나 빨아줌박그네 빨아주는건 틀딱 유튜브밖에 없음디시  일베는 완벽히 친이 애들이다,역시 이명박 까야 한다는 건 맞는 판단이었어디시  일베  윤석렬 이라니 이야 너무 무섭다이미 탄거 아니냐이미 탄거 맞음이미 탔으면 친이라인 버스도 곧 타겠네 이미 탄거 아니냐이미 탄거 맞음이미 탔으면 친이라인 버스도 곧 타겠네 역시 이명박 까야 한다는 건 맞는 판단이었어디시  일베  윤석렬 이라니 이야 너무 무섭다그럼 절대로 잘될일 없겠네 안심해도 되는거잖아아냐 잘되기를 빌어줘야지그래야 더 개판날테니까존나 소신있고 트렌드에 민감하고 쎈척하지만   저기 디씨는 진짜 선동잘당하고  집단분위기에 엄청약하고 잘따라가더라 결국 저기서 또 쭈쭈쭈하는대로 가구만 쿨찐들의 모임임누구보다 디씨부심을 가지고 있고디씨  일베에서   빠는 새끼들 특  딱 이 수준의 지능이런 수준의 지능이니까 베이징대학교 그 연설중국이 더 많이 다양성을 포용하고 개방과 관용의 중국정신을 펼쳐갈 때 실현가능한 꿈이라고 생각함  중국몽 함께하겠다 라는 뜻으로 알고 있지 들원래 벌레들 이명박이 경제대통령이고 외교 짱짱맨이고 이런줄 앎국정원이 노통 비하하면서 엠비 신성화 작업 잘 쳐놓은거지
